date,total_tested,new_tested,total_confirmed,new_confirmed,current_hospitalized,current_intensive_care,new_recovered,total_deceased,new_deceased,country_code,total_recovered,key
2020-03-12,3863,1045,131,49,17,2,0,0,0,SI,0,SI
2020-03-13,5060,1197,179,48,21,4,0,0,0,SI,0,SI
2020-03-14,5976,916,215,36,28,3,0,1,1,SI,0,SI
2020-03-15,6566,590,250,35,31,3,0,1,0,SI,0,SI
2020-03-16,7437,871,277,27,32,3,0,1,0,SI,0,SI
2020-03-17,8558,1121,287,10,34,5,3,1,0,SI,3,SI
2020-03-18,9584,1026,319,32,43,6,3,1,0,SI,6,SI
2020-03-19,10768,1184,342,23,45,6,12,1,0,SI,18,SI
2020-03-20,12010,1242,368,26,55,9,8,1,0,SI,26,SI
2020-03-21,12882,872,406,38,56,9,2,1,0,SI,28,SI
2020-03-22,13613,731,440,34,55,10,4,1,0,SI,32,SI
2020-03-23,14870,1257,476,36,64,10,3,3,2,SI,35,SI
2020-03-24,16113,1243,526,50,72,14,2,4,1,SI,37,SI
2020-03-25,17294,1181,562,36,98,17,5,5,1,SI,42,SI
2020-03-26,18369,1075,632,70,90,22,6,7,2,SI,48,SI
2020-03-27,19756,1387,684,52,90,25,6,9,2,SI,54,SI
2020-03-28,20753,997,730,46,101,23,0,11,2,SI,54,SI
2020-03-29,21349,569,756,26,115,28,3,11,0,SI,57,SI
2020-03-30,22474,1125,802,46,119,28,7,13,2,SI,64,SI
2020-03-31,23762,1288,841,39,119,31,8,15,2,SI,72,SI
2020-04-01,24857,1095,897,56,112,29,4,16,1,SI,76,SI
2020-04-02,25921,1064,934,37,112,30,5,20,4,SI,81,SI
2020-04-03,27109,1188,977,43,109,31,10,10,2,SI,91,SI
2020-04-04,27764,655,997,20,108,31,5,28,6,SI,96,SI
2020-04-05,28253,1021,1021,24,114,30,4,30,2,SI,100,SI
2020-04-06,29455,1055,1055,35,111,31,13,36,6,SI,113,SI
2020-04-07,30669,1214,1091,36,111,35,5,40,4,SI,118,SI
2020-04-08,31813,1144,1124,33,108,34,8,43,3,SI,126,SI
2020-04-09,33047,1234,1160,36,106,36,9,45,2,SI,135,SI
2020-04-10,34279,1232,1188,28,94,37,11,50,5,SI,146,SI
2020-04-11,34851,572,1205,17,95,35,2,53,3,SI,148,SI
2020-04-12,35405,554,1212,7,95,34,2,55,2,SI,150,SI
2020-04-13,35946,541,1220,8,103,35,0,56,1,SI,150,SI
2020-04-14,37114,1168,1247,28,96,34,13,61,5,SI,163,SI
2020-04-15,38137,1023,1268,21,99,31,9,61,0,SI,172,SI
2020-04-16,39330,1193,1304,36,95,28,8,66,5,SI,180,SI
2020-04-17,40580,1250,1317,13,93,27,8,70,4,SI,188,SI
2020-04-18,41265,685,1330,13,90,26,2,74,4,SI,190,SI
2020-04-19,41802,537,1335,5,88,26,1,77,3,SI,191,SI
2020-04-20,42976,1174,1344,9,87,25,4,77,0,SI,195,SI
2020-04-21,44435,1459,1353,9,82,24,8,79,2,SI,203,SI
2020-04-22,45703,1268,1366,13,80,23,6,79,0,SI,209,SI
2020-04-23,47018,1315,1373,7,78,24,4,80,1,SI,213,SI
2020-04-24,48179,1161,1388,15,77,23,4,81,1,SI,217,SI
2020-04-25,48973,794,1396,7,80,23,2,82,1,SI,219,SI
2020-04-26,49607,634,1402,6,80,22,0,83,1,SI,219,SI
2020-04-27,50290,683,1408,6,78,24,2,86,3,SI,221,SI
2020-04-28,51607,1317,1418,10,73,25,7,89,3,SI,228,SI
2020-04-29,52948,1341,1429,11,63,22,3,91,2,SI,231,SI
2020-04-30,54300,1352,1434,5,58,21,5,93,2,SI,236,SI
2020-05-01,55020,720,1439,5,60,21,1,94,1,SI,237,SI
2020-05-02,55520,500,1439,0,59,21,2,96,2,SI,239,SI
2020-05-03,56136,616,1439,0,58,20,3,97,1,SI,242,SI
2020-05-04,57474,1338,1445,6,56,17,3,98,1,SI,245,SI
2020-05-05,58923,1449,1448,3,53,14,2,99,1,SI,247,SI
2020-05-06,59978,1055,1449,1,52,13,1,99,0,SI,248,SI
2020-05-07,61027,1049,1450,1,47,12,5,100,1,SI,253,SI
2020-05-08,62203,1176,1454,4,43,10,3,101,1,SI,256,SI
2020-05-09,62828,625,1457,3,41,10,1,102,1,SI,257,SI
2020-05-10,63365,537,1460,3,42,10,0,102,0,SI,257,SI
2020-05-11,64547,1182,1461,1,40,9,3,102,0,SI,260,SI
2020-05-12,65694,1147,1463,2,38,9,1,103,1,SI,261,SI
2020-05-13,66678,984,1464,1,32,7,7,103,0,SI,268,SI
2020-05-14,67701,1023,1465,1,29,7,3,103,0,SI,271,SI
2020-05-15,68852,1151,1465,0,27,6,2,103,0,SI,273,SI
2020-05-16,69363,511,1466,1,26,5,1,104,1,SI,274,SI
2020-05-17,69842,479,1466,0,25,5,1,104,0,SI,275,SI
2020-05-18,70970,1128,1467,1,24,5,1,104,0,SI,276,SI
2020-05-19,71951,981,1468,1,23,4,1,105,1,SI,277,SI
2020-05-20,72860,909,1468,0,21,3,2,106,1,SI,279,SI
2020-05-21,73742,882,1468,0,21,4,0,106,0,SI,279,SI
2020-05-22,74419,677,1468,0,19,4,2,106,0,SI,281,SI
2020-05-23,74760,341,1468,0,18,4,0,107,1,SI,281,SI
2020-05-24,75016,256,1469,1,16,3,2,107,0,SI,283,SI
2020-05-25,75770,754,1469,0,9,2,6,108,1,SI,289,SI
2020-05-26,76579,809,1471,2,8,2,2,108,0,SI,291,SI
2020-05-27,77210,631,1473,2,7,2,1,108,0,SI,292,SI
2020-05-28,77916,706,1473,0,7,2,0,108,0,SI,292,SI
2020-05-29,78529,613,1473,0,7,2,0,108,0,SI,292,SI
2020-05-30,78793,264,1473,0,6,2,1,108,0,SI,293,SI
2020-05-31,79039,246,1473,0,5,1,0,109,1,SI,293,SI
2020-06-01,79698,659,1475,2,5,1,0,109,0,SI,293,SI
2020-06-02,80505,807,1477,2,5,0,0,109,0,SI,293,SI
2020-06-03,81333,828,1477,0,5,0,0,109,0,SI,293,SI
2020-06-04,82161,828,1479,2,6,0,0,109,0,SI,293,SI
2020-06-05,82876,715,1484,5,6,0,0,109,0,SI,293,SI
2020-06-06,83105,229,1485,1,5,0,1,109,0,SI,294,SI
2020-06-07,83316,211,1485,0,5,0,0,109,0,SI,294,SI
2020-06-08,84130,814,1486,1,6,0,0,109,0,SI,294,SI
2020-06-09,84868,738,1488,2,6,0,0,109,0,SI,294,SI
2020-06-10,85626,758,1488,0,6,0,0,109,0,SI,294,SI
2020-06-11,86328,702,1490,2,6,0,0,109,0,SI,294,SI
2020-06-12,87095,767,1492,2,6,0,0,109,0,SI,294,SI
2020-06-13,87386,291,1495,3,6,0,0,109,0,SI,294,SI
2020-06-14,87598,212,1496,1,7,1,0,109,0,SI,294,SI
2020-06-15,88165,567,1499,3,7,1,0,109,0,SI,294,SI
2020-06-16,89151,986,1503,4,7,1,0,109,0,SI,294,SI
