Date,Nombre de personnes en soins normaux,Nombre de personnes en soins intensifs (patients du Grand Est inclus),Nombre de personnes en soins intensifs (sans patients du Grand Est),Nombre de décès - cumulé (sans patients du Grand Est),"Total patients COVID ayant quitté l'hôpital (hospitalisations stationnaires, données brutes)",Nombre cumulé de nouvelles personnes testées COVID+ (si la personne a déjà été testée + précédemment elle n'est donc pas reprise dans le compte),Nombre de nouvelles personnes testées COVID+ par jour ,"Nombre cumulé de personnes testées pour COVID
*le 26/03 des résultats de tests ont été rapatriés en masse ",Nombre de nouvelles personnes testées pour COVID par jour (si la personne a déjà été testée précédemment (- ou +) est n'est donc pas reprise dans le compte)
24/02/2020,0,0,0,0,-,0,0,2,2.00000000000000
25/02/2020,0,0,0,0,-,0,0,9,7.00000000000000
26/02/2020,0,0,0,0,-,0,0,11,2.00000000000000
27/02/2020,0,0,0,0,-,0,0,12,1.00000000000000
28/02/2020,0,0,0,0,-,0,0,19,7.00000000000000
29/02/2020,0,0,0,0,-,1,1,20,1.00000000000000
01/03/2020,0,0,0,0,-,1,0,20,0.00000000000000
02/03/2020,0,0,0,0,-,1,0,27,7.00000000000000
03/03/2020,0,0,0,0,-,1,0,31,4.00000000000000
04/03/2020,0,0,0,0,-,1,0,31,0.00000000000000
05/03/2020,0,0,0,0,-,2,1,37,6.00000000000000
06/03/2020,0,0,0,0,-,3,1,46,9.00000000000000
07/03/2020,0,0,0,0,-,4,1,52,6.00000000000000
08/03/2020,0,0,0,0,-,4,0,52,0.00000000000000
09/03/2020,0,0,0,0,-,4,0,68,16.00000000000000
10/03/2020,0,0,0,0,3,4,0,93,25.00000000000000
11/03/2020,0,0,0,0,-,6,2,144,51.00000000000000
12/03/2020,0,0,0,0,1,21,15,344,200.00000000000000
13/03/2020,0,0,0,0,3,45,24,547,203.00000000000000
14/03/2020,0,0,0,0,-,66,21,654,107.00000000000000
15/03/2020,0,0,0,0,-,66,0,678,24.00000000000000
16/03/2020,0,0,0,0,4,99,33,1098,420.00000000000000
17/03/2020,0,0,0,2,1,221,122,1748,650.00000000000000
18/03/2020,0,0,0,2,3,379,158,2698,950.00000000000000
19/03/2020,1,0,0,3,0,522,143,3669,971.00000000000000
20/03/2020,18,3,3,5,2,697,175,4777,1 108.00000000000000
21/03/2020,56,6,6,6,1,824,127,5259,482.00000000000000
22/03/2020,63,5,2,6,5,845,21,5280,21.00000000000000
23/03/2020,71,7,2,6,6,1087,242,6477,1 197.00000000000000
24/03/2020,97,9,2,6,2,1280,193,7453,976.00000000000000
25/03/2020,128,21,14,8,2,1450,170,8440,987.00000000000000
26/03/2020,120,26,20,9,11,1713,263,13925,5 485.00000000000000
27/03/2020,128,26,20,14,4,1909,196,15163,1 238.00000000000000
28/03/2020,152,29,23,17,7,2036,127,16135,972.00000000000000
29/03/2020,160,27,21,21,1,2080,44,16456,321.00000000000000
30/03/2020,156,30,24,22,19,2251,171,17669,1 213.00000000000000
31/03/2020,163,32,26,26,16,2363,112,18783,1 114.00000000000000
01/04/2020,166,33,27,27,11,2554,191,20193,1 410.00000000000000
02/04/2020,184,40,30,28,9,2683,129,21617,1 424.00000000000000
03/04/2020,183,45,35,29,19,2800,117,22960,1 343.00000000000000
04/04/2020,190,43,33,34,13,2871,71,23834,874.00000000000000
05/04/2020,177,43,33,36,10,2910,39,24454,620.00000000000000
06/04/2020,180,41,31,38,16,2987,77,25482,1 028.00000000000000
07/04/2020,179,41,31,43,12,3074,87,26612,1 130.00000000000000
08/04/2020,189,43,33,46,10,3154,80,27623,1 011.00000000000000
09/04/2020,185,39,29,49,10,3225,71,28497,874.00000000000000
10/04/2020,186,38,28,55,20,3273,48,29185,688.00000000000000
11/04/2020,172,40,30,58,7,3285,12,29520,335.00000000000000
12/04/2020,183,40,31,62,3,3304,19,29736,216.00000000000000
13/04/2020,161,42,33,65,14,3307,3,29794,58.00000000000000
14/04/2020,163,43,34,68,21,3383,76,31237,1 443.00000000000000
15/04/2020,144,44,35,68,14,3433,50,32080,843.00000000000000
16/04/2020,157,41,32,71,18,3477,44,32967,887.00000000000000
17/04/2020,141,39,30,71,14,3532,55,33919,952.00000000000000
18/04/2020,152,40,31,74,9,3551,19,34434,515.00000000000000
19/04/2020,148,39,30,75,0,3559,8,34570,136.00000000000000
20/04/2020,149,39,31,78,21,3590,31,35537,967.00000000000000
21/04/2020,147,38,31,80,10,3638,48,36395,858.00000000000000
22/04/2020,143,35,28,81,11,3656,18,37526,1 131.00000000000000
23/04/2020,133,30,24,84,12,3676,20,38242,716.00000000000000
24/04/2020,129,30,25,85,15,3708,32,39467,1 225.00000000000000
25/04/2020,119,28,23,88,7,3723,15,40065,598.00000000000000
26/04/2020,121,25,20,88,4,3729,6,40166,101.00000000000000
27/04/2020,112,25,20,89,19,3741,12,40863,697.00000000000000
28/04/2020,115,25,22,89,20,3774,33,42485,1 622.00000000000000
29/04/2020,101,27,24,90,10,3790,16,44193,1 708.00000000000000
30/04/2020,87,27,24,92,13,3804,14,46042,1 849.00000000000000
01/05/2020,98,28,25,93,4,3811,7,47477,1 435.00000000000000
02/05/2020,93,27,24,96,3,3823,12,48113,636.00000000000000
03/05/2020,92,26,23,96,2,3827,4,48334,221.00000000000000
04/05/2020,90,25,22,98,8,3839,12,49302,968.00000000000000
05/05/2020,98,23,20,98,15,3850,11,50538,1 236.00000000000000
06/05/2020,90,24,21,100,6,3859,9,51879,1 341.00000000000000
07/05/2020,80,19,16,100,7,3870,11,53315,1 436.00000000000000
08/05/2020,88,18,15,101,13,3876,6,54554,1 239.00000000000000
09/05/2020,79,17,14,101,6,3885,9,55247,693.00000000000000
10/05/2020,69,21,18,101,3,3887,2,55412,165.00000000000000
11/05/2020,66,23,22,102,1,3894,7,56391,979.00000000000000
12/05/2020,67,23,22,103,7,3904,10,57688,1 297.00000000000000
13/05/2020,67,12,11,103,8,3916,12,58835,1 147.00000000000000
14/05/2020,71,12,11,104,3,3923,7,59988,1 153.00000000000000
15/05/2020,58,16,15,105,3,3932,9,61207,1 219.00000000000000
16/05/2020,50,14,13,106,5,3945,13,62154,947.00000000000000
17/05/2020,46,9,8,106,1,3947,2,62260,106.00000000000000
18/05/2020,50,11,10,108,6,3959,12,63085,825.00000000000000
19/05/2020,51,7,6,108,5,3971,12,64086,1 001.00000000000000
20/05/2020,56,7,6,108,10,3980,9,65331,1 245.00000000000000
21/05/2020,46,6,5,108,1,3981,1,66087,756.00000000000000
22/05/2020,47,9,8,108,9,3990,9,67190,1 103.00000000000000
23/05/2020,36,8,7,109,0,3992,2,68302,1 112.00000000000000
24/05/2020,37,5,4,109,-,3993,1,68368,66.00000000000000
25/05/2020,39,6,5,109,2,3995,2,69152,784.00000000000000
26/05/2020,46,5,4,110,2,4001,6,70399,1 247.00000000000000
27/05/2020,35,5,4,110,5,4008,7,71442,1 043.00000000000000
28/05/2020,30,5,4,110,3,4012,4,73428,1 986.00000000000000
29/05/2020,30,4,3,110,4,4016,4,76026,2 598.00000000000000
30/05/2020,28,4,3,110,2,4018,2,78103,2 077.00000000000000
31/05/2020,29,4,3,110,2,4019,1,78265,162.00000000000000
01/06/2020,26,4,4,110,2,4020,1,78907,642.00000000000000
02/06/2020,25,2,2,110,2,4024,4,80899,1 992.00000000000000
03/06/2020,22,3,3,110,1,4028,4,83017,2 118.00000000000000
04/06/2020,22,1,1,110,5,4033,5,84866,1 849.00000000000000
05/06/2020,21,1,1,110,4,4035,2,88282,3 416.00000000000000
06/06/2020,15,1,1,110,-,4039,4,90258,1 976.00000000000000
07/06/2020,19,2,2,110,1,4040,1,90840,582.00000000000000
08/06/2020,20,2,2,110,2,4046,6,93601,2 761.00000000000000
09/06/2020,17,1,1,110,4,4049,3,96720,3 119.00000000000000
10/06/2020,17,1,1,110,5,4056,7,101318,4 598.00000000000000
11/06/2020,16,0,0,110,1,4059,3,105489,4 171.00000000000000
12/06/2020,19,0,0,110,5,4063,4,112086,6 597.00000000000000
13/06/2020,15,1,1,110,3,4071,8,115498,3 412.00000000000000
14/06/2020,13,1,1,110,1,4073,2,116118,620.00000000000000
15/06/2020,16,2,2,110,1,4079,6,121586,5 468.00000000000000
16/06/2020,17,1,1,110,5,4089,10,126832,5 246.00000000000000
17/06/2020,13,2,2,110,3,4092,3,133283,6 451.00000000000000
18/06/2020,15,2,2,110,1,4099,7,139752,6 469.00000000000000
19/06/2020,14,1,1,110,-,4108,9,147125,7 373.00000000000000
20/06/2020,14,1,1,110,2,4125,17,152721,5 596.00000000000000
21/06/2020,16,2,2,110,-,4125,0,153194,473.00000000000000
22/06/2020,16,1,1,110,3,4140,15,159574,6 380.00000000000000
23/06/2020,13,0,0,110,1,4143,3,159669,95.00000000000000
24/06/2020,15,0,0,110,3,4156,13,164990,5 321.00000000000000
25/06/2020,13,1,1,110,2,4173,17,168786,3 796.00000000000000
