Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
06/25/2020,06/22/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Al Jazirah,847,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Blue Nile,26,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Central Darfur,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,East Darfur,20,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Gedaref,241,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Kassala,87,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Khartoum,6715,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,North Darfur,137,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,North Kordofan,170,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Northern,50,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Red Sea,146,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,River Nile,113,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,Sennar,181,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,South Kordofan,11,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,West Darfur,30,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,West Kordofan,34,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/25/2020,06/22/2020,White Nile,133,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2025%20Jun%202020.pdf
06/18/2020,06/15/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Al Jazirah,715,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Blue Nile,20,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,East Darfur,19,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Gedaref,215,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Kassala,63,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Khartoum,6138,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,North Darfur,124,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,North Kordofan,155,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Northern,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Red Sea,98,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,River Nile,71,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,Sennar,157,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,South Kordofan,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,West Darfur,28,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,West Kordofan,22,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/18/2020,06/15/2020,White Nile,110,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Al Jazirah,676,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Blue Nile,17,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,East Darfur,19,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Gedaref,206,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Kassala,63,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Khartoum,5666,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,North Darfur,117,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,North Kordofan,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Northern,30,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Red Sea,89,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,River Nile,59,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Sennar,150,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,South Darfur,36,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,South Kordofan,7,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,West Darfur,28,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,West Kordofan,22,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,White Nile,101,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Al Jazirah,420,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Blue Nile,11,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,East Darfur,16,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Gedaref,169,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Kassala,52,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Khartoum,4313,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,North Darfur,68,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,North Kordofan,137,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Northern,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Red Sea,13,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,River Nile,24,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Sennar,116,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,South Darfur,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,South Kordofan,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,West Darfur,26,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,West Kordofan,12,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,White Nile,57,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
05/31/2020,05/28/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Al Jazirah,335,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Blue Nile,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,East Darfur,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Gedaref,151,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Kassala,40,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
