date,YYYYMMDD,cumulative_tests,recovered,hospitalisation,critical_icu,ventilation,deaths,contacts_identified,contacts_traced,scanned_travellers,passengers_elevated_temperature,covid_suspected_criteria,source
11-02-2020,20200211,61,0,,0,0,0,,,,,,
13-02-2020,20200213,67,0,,0,0,0,,,,,,
14-02-2020,20200214,71,0,,0,0,0,,,,,,
19-02-2020,20200219,95,0,,0,0,0,,,,,,
20-02-2020,20200220,106,0,,0,0,0,,,,,,
24-02-2020,20200224,116,0,,0,0,0,,,,,,
26-02-2020,20200226,121,0,,0,0,0,,,,,,
02-03-2020,20200302,160,0,,0,0,0,,,13731,0,0,
03-03-2020,20200303,164,0,,0,0,0,,,11025,0,0,
06-03-2020,20200306,200,0,,0,0,0,,,,,,
07-03-2020,20200307,241,0,,0,0,0,,,,,,
11-03-2020,20200311,645,0,,0,0,0,,,22061,0,0,
12-03-2020,20200312,848,0,,0,0,0,,,28493,1,2,
13-03-2020,20200313,924,0,,0,0,0,,,28633,1,2,
14-03-2020,20200314,1017,0,,0,0,0,,,28087,0,0,
15-03-2020,20200315,1476,0,,0,0,0,,,,,,
16-03-2020,20200316,2405,0,,0,0,0,,,,,,
17-03-2020,20200317,2911,0,,0,0,0,,,,,,
18-03-2020,20200318,3070,0,,0,0,0,,,,,,
19-03-2020,20200319,4832,0,,0,0,0,,,,,,
20-03-2020,20200320,6438,0,,0,0,0,,,,,,
21-03-2020,20200321,7425,0,,0,0,0,,,,,,
22-03-2020,20200322,9315,1,,0,0,0,,,,,,
23-03-2020,20200323,12815,1,,0,0,0,,,,,,
24-03-2020,20200324,15529,2,,0,0,0,,,,,,
25-03-2020,20200325,,4,,2,0,0,,,,,,
26-03-2020,20200326,20471,4,,2,0,0,,,,,,
27-03-2020,20200327,28537,31,55,4,3,1,4407,3645,,,,
28-03-2020,20200328,31963,31,,,,1,,,,,,
29-03-2020,20200329,35593,31,,,,2,,,,,,
30-03-2020,20200330,38409,31,,,,3,,,,,,
31-03-2020,20200331,41072,31,,,,5,,,,,,
01-04-2020,20200401,44292,31,,,,5,,,,,,
02-04-2020,20200402,47965,45,,,,5,,,,,,
03-04-2020,20200403,50361,45,,,,9,,,,,,
04-04-2020,20200404,53937,45,,,,9,,,,,,
05-04-2020,20200405,56873,45,,10,,11,,,,,,
06-04-2020,20200406,58098,45,,10,,12,,,,,,
07-04-2020,20200407,,45,,10,,13,,,,,,
08-04-2020,20200408,63776,45,,10,,18,,,,,,
09-04-2020,20200409,68874,45,,10,,18,,,,,,
10-04-2020,20200410,73028,410,,,,24,,,,,,
11-04-2020,20200411,75053,410,,,,25,,,,,,
12-04-2020,20200412,80085,410,,,,25,,,,,,
13-04-2020,20200413,83663,410,,,,27,,,,,,
14-04-2020,20200414,87022,410,,,,27,,,,,,
15-04-2020,20200415,90515,410,,,,34,,,,,,
16-04-2020,20200416,95060,903,,,,48,,,,,,
17-04-2020,20200417,100827,903,,,,50,,,,,,
18-04-2020,20200418,108201,903,241,36,26,52,,,,,,
19-04-2020,20200419,114711,903,241,36,26,54,,,,,,
20-04-2020,20200420,121510,1055,241,36,26,58,,,,,,https://twitter.com/DrZweliMkhize/status/1252310038666006528?s=20
21-04-2020,20200421,126937,1055,241,36,26,58,,,,,,https://twitter.com/DrZweliMkhize/status/1252634824935976960?s=20
22-04-2020,20200422,133774,1055,241,36,26,65,,,,,,https://sacoronavirus.co.za/2020/04/22/update-on-covid-19-22nd-april-2020/
23-04-2020,20200423,143570,1473,241,36,26,75,,,,,,"https://sacoronavirus.co.za/2020/04/23/update-on-covid-19-23rd-april-2020-, https://twitter.com/nicd_sa/status/1253374043111272450/photo/1"
24-04-2020,20200424,152390,1473,241,36,26,79,,,,,,"https://twitter.com/nicd_sa/status/1253769210301427713?s=21, https://twitter.com/nicd_sa/status/1253769210301427713/photo/1"
25-04-2020,20200425,161004,1473,241,36,26,86,,,,,,https://twitter.com/DrZweliMkhize/status/1254108225991041024?s=20
26-04-2020,20200426,168643,1473,241,36,26,87,,,,,,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20
27-04-2020,20200427,178470,1473,241,36,26,90,,,,,,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20
28-04-2020,20200428,185497,1473,241,36,26,93,,,,,,"https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20, https://twitter.com/nicd_sa/status/1255208067551170564/photo/1"
29-04-2020,20200429,197127,2073,241,36,26,103,,,,,,https://sacoronavirus.co.za/2020/04/29/update-on-covid-19-29th-april-2020/
30-04-2020,20200430,207530,2073,241,36,26,103,,,,,,https://sacoronavirus.co.za/2020/04/30/update-on-covid-19-30th-april-2020/
01-05-2020,20200501,217522,2382,241,36,26,116,,,,,,https://sacoronavirus.co.za/2020/05/01/update-on-covid-19-1st-may-2020/
02-05-2020,20200502,230686,2549,241,36,26,123,,,,,,https://sacoronavirus.co.za/2020/05/02/update-on-covid-19-2nd-may-2020/
03-05-2020,20200503,245747,2549,241,36,26,131,,,,,,https://twitter.com/nicd_sa/status/1257006165889880069?s=20
04-05-2020,20200504,257541,2746,411,36,26,138,,,,,,https://sacoronavirus.co.za/2020/05/04/update-on-covid-19-4th-may-2020/
05-05-2020,20200505,268064,2746,411,36,26,148,,,,,,https://sacoronavirus.co.za/2020/05/05/update-on-covid-19-5th-may-2020/
06-05-2020,20200506,279379,3153,411,36,26,153,,,,,,https://twitter.com/HealthZA/status/1258130333272244229?s=20
07-05-2020,20200507,292153,3153,411,36,26,161,,,,,,https://sacoronavirus.co.za/2020/05/07/update-on-covid-19-7th-may-2020/
08-05-2020,20200508,307752,3153,411,36,26,178,,,,,,https://sacoronavirus.co.za/2020/05/08/update-on-covid-19-8th-may-2020/
09-05-2020,20200509,324079,3983,411,36,26,186,,,,,,https://sacoronavirus.co.za/2020/05/09/update-on-covid-19-9th-may-2020/
10-05-2020,20200510,341336,4173,411,36,26,194,,,,,,https://sacoronavirus.co.za/2020/05/10/update-on-covid-19-10th-may-2020/
11-05-2020,20200511,356067,4357,411,36,26,206,,,,,,https://twitter.com/DrZweliMkhize/status/1259849590251098112?s=20
12-05-2020,20200512,369697,4357,411,36,26,206,,,,,,https://twitter.com/nicd_sa/status/1260170708329672706?s=20
13-05-2020,20200513,386352,4745,411,36,26,219,,,,,,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1
14-05-2020,20200514,403018,5676,411,36,26,238,,,,,,https://sacoronavirus.co.za/2020/05/14/update-on-covid-19-14th-may-2020/
15-05-2020,20200515,421555,6083,411,36,26,247,,,,,,https://mobile.twitter.com/nicd_sa/status/1261360621804806145/photo/1
16-05-2020,20200516,439559,6478,411,36,26,261,,,,,,https://sacoronavirus.co.za/2020/05/16/update-on-covid-19-16th-may-2020/
17-05-2020,20200517,460873,7006,411,36,26,264,,,,,,https://sacoronavirus.co.za/2020/05/17/update-on-covid-19-17th-may-2020/
18-05-2020,20200518,475071,7298,411,36,26,286,,,,,,https://sacoronavirus.co.za/2020/05/18/update-on-covid-19-18th-may-2020/
19-05-2020,20200519,488609,7960,411,36,26,312,,,,,,https://sacoronavirus.co.za/2020/05/19/update-on-covid-19-19th-may-2020/
20-05-2020,20200520,505861,8950,,,,339,,,,,,https://sacoronavirus.co.za/2020/05/20/update-on-covid-19-20th-may-2020/
21-05-2020,20200521,525433,8950,,,,369,,,,,,https://twitter.com/nicd_sa/status/1263466016874680322
22-05-2020,20200522,543032,10104,,,,397,,,,,,https://sacoronavirus.co.za/2020/05/22/update-on-covid-19-22nd-may-2020/
23-05-2020,20200523,564370,10104,,,,407,,,,,,https://twitter.com/nicd_sa/status/1264277822891327489/photo/1
24-05-2020,20200524,583855,11100,842,128,,429,,,,,,https://sacoronavirus.co.za/2020/05/24/update-on-covid-19-24th-may-2020/;https://sacoronavirus.co.za/2020/05/24/address-by-president-cyril-ramaphosa-on-south-africas-response-to-the-coronavirus-pandemic-24th-may-2020/
25-05-2020,20200525,596777,11917,842,128,,481,,,,,,https://twitter.com/DrZweliMkhize/status/1264999754964054016?s=20
26-05-2020,20200526,605991,12741,,,,524,,,,,,https://twitter.com/nicd_sa/status/1265381678001913857/photo/1
27-05-2020,20200527,634996,13451,,,,552,,,,,,https://sacoronavirus.co.za/2020/05/27/update-on-covid-19-27th-may-2020/
28-05-2020,20200528,655723,14370,,,,577,,,,,,https://twitter.com/nicd_sa/status/1266132429858918400?s=20
29-05-2020,20200529,680175,15093,,,,611,,,,,,https://sacoronavirus.co.za/2020/05/29/update-on-covid-19-29th-may-2020/
30-05-2020,20200530,701883,16116,,,,643,,,,,,https://sacoronavirus.co.za/2020/05/30/update-on-covid-19-30th-may-2020/
31-05-2020,20200531,725125,16809,,,,683,,,,,,https://sacoronavirus.co.za/2020/05/31/update-on-covid-19-31st-may-2020/
01-06-2020,20200601,742742,17291,,,,705,,,,,,https://sacoronavirus.co.za/2020/06/01/update-on-covid-19-1st-june-202/
02-06-2020,20200602,761534,18313,,,,755,,,,,,https://sacoronavirus.co.za/2020/06/02/update-on-covid-19-02nd-june-2020/
03-06-2020,20200603,785979,19682,,,,792,,,,,,https://sacoronavirus.co.za/2020/06/03/update-on-covid-19-03rd-june-2020/
04-06-2020,20200604,820675,21311,,,,848,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-june-2020/
05-06-2020,20200605,850871,23088,,,,908,,,,,,https://sacoronavirus.co.za/2020/06/05/update-on-covid-19-05th-june-2020/
06-06-2020,20200606,891668,24258,,,,952,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-june-2020/
07-06-2020,20200607,920064,24364,,,,998,,,,,,https://sacoronavirus.co.za/2020/06/07/update-on-covid-19-07th-june-2020/
08-06-2020,20200608,943059,26099,,,,1080,,,,,,https://sacoronavirus.co.za/2020/06/08/update-on-covid-19-08th-june-2020/
09-06-2020,20200609,968070,29006,,,,1162,,,,,,https://sacoronavirus.co.za/2020/06/09/update-on-covid-19-09th-june-2020/
10-06-2020,20200610,998400,31505,,,,1210,,,,,,https://sacoronavirus.co.za/2020/06/10/update-on-covid-19-10th-june-2020/
11-06-2020,20200611,1028399,33252,,,,1284,,,,,,https://sacoronavirus.co.za/2020/06/11/update-on-covid-19-11th-june-2020/
12-06-2020,20200612,1060425,35008,,,,1354,,,,,,https://sacoronavirus.co.za/2020/06/12/update-on-covid-19-12th-june-2020/
13-06-2020,20200613,1087887,36850,,,,1423,,,,,,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/
14-06-2020,20200614,1121958,38531,,,,1480,,,,,,https://sacoronavirus.co.za/2020/06/14/update-on-covid-19-14th-june-2020/
15-06-2020,20200615,1148933,39867,,,,1568,,,,,,https://sacoronavirus.co.za/2020/06/15/update-on-covid-19-15th-june-2020/
16-06-2020,20200616,1172513,42063,,,,1625,,,,,,https://twitter.com/nicd_sa/status/1273017728232800257
17-06-2020,20200617,1207360,44343,,,,1674,,,,,,https://sacoronavirus.co.za/2020/06/17/update-on-covid-19-17th-june-2020/
18-06-2020,20200618,1228098,44920,,,,1737,,,,,,https://twitter.com/nicd_sa/status/1273701719126552576/photo/1
19-06-2020,20200619,1260434,47825,,,,1831,,,,,,https://sacoronavirus.co.za/2020/06/19/update-on-covid-19-19th-june-2020/
20-06-2020,20200620,1293608,50326,,,,1877,,,,,,https://sacoronavirus.co.za/2020/06/20/update-on-covid-19-20th-june-2020/
21-06-2020,20200621,1328060,51608,,,,1930,,,,,,https://sacoronavirus.co.za/2020/06/21/update-on-covid-19-21st-june-2020/
22-06-2020,20200622,1353176,53444,,,,1991,,,,,,https://sacoronavirus.co.za/2020/06/22/update-on-covid-19-22nd-june-2020/
23-06-2020,20200623,1382772,55045,,,,2102,,,,,,https://sacoronavirus.co.za/2020/06/23/update-on-covid-19-23rd-june-2020/
