country,nuts_3,cases,cases/100k pop.,datetime
NO,Nordland,17,,2020-03-20T00:00:00
NO,Møre og Romsdal,29,,2020-03-20T00:00:00
NO,Troms og Finnmark,32,,2020-03-20T00:00:00
NO,Vestfold og Telemark,72,,2020-03-20T00:00:00
NO,Agder,79,,2020-03-20T00:00:00
NO,Trøndelag,97,,2020-03-20T00:00:00
NO,Innlandet,115,,2020-03-20T00:00:00
NO,Vestland,173,,2020-03-20T00:00:00
NO,Rogaland,180,,2020-03-20T00:00:00
NO,Oslo,419,,2020-03-20T00:00:00
NO,Viken,529,,2020-03-20T00:00:00
NO,Nordland,17,,2020-03-21T00:00:00
NO,Møre og Romsdal,32,,2020-03-21T00:00:00
NO,Troms og Finnmark,37,,2020-03-21T00:00:00
NO,Vestfold og Telemark,81,,2020-03-21T00:00:00
NO,Agder,82,,2020-03-21T00:00:00
NO,Trøndelag,122,,2020-03-21T00:00:00
NO,Innlandet,125,,2020-03-21T00:00:00
NO,Rogaland,199,,2020-03-21T00:00:00
NO,Vestland,200,,2020-03-21T00:00:00
NO,Oslo,448,,2020-03-21T00:00:00
NO,Viken,583,,2020-03-21T00:00:00
NO,Nordland,19,,2020-03-22T00:00:00
NO,Møre og Romsdal,38,,2020-03-22T00:00:00
NO,Troms og Finnmark,49,,2020-03-22T00:00:00
NO,Vestfold og Telemark,85,,2020-03-22T00:00:00
NO,Agder,91,,2020-03-22T00:00:00
NO,Trøndelag,131,,2020-03-22T00:00:00
NO,Innlandet,148,,2020-03-22T00:00:00
NO,Vestland,214,,2020-03-22T00:00:00
NO,Rogaland,219,,2020-03-22T00:00:00
NO,Oslo,523,,2020-03-22T00:00:00
NO,Viken,615,,2020-03-22T00:00:00
NO,Nordland,19,,2020-03-23T00:00:00
NO,Møre og Romsdal,38,,2020-03-23T00:00:00
NO,Troms og Finnmark,49,,2020-03-23T00:00:00
NO,Vestfold og Telemark,85,,2020-03-23T00:00:00
NO,Agder,91,,2020-03-23T00:00:00
NO,Trøndelag,131,,2020-03-23T00:00:00
NO,Innlandet,148,,2020-03-23T00:00:00
NO,Vestland,214,,2020-03-23T00:00:00
NO,Rogaland,219,,2020-03-23T00:00:00
NO,Oslo,523,,2020-03-23T00:00:00
NO,Viken,615,,2020-03-23T00:00:00
NO,Nordland,18,,2020-03-24T00:00:00
NO,Møre og Romsdal,46,,2020-03-24T00:00:00
NO,Troms og Finnmark,59,,2020-03-24T00:00:00
NO,Agder,92,,2020-03-24T00:00:00
NO,Vestfold og Telemark,95,,2020-03-24T00:00:00
NO,Trøndelag,158,,2020-03-24T00:00:00
NO,Innlandet,163,,2020-03-24T00:00:00
NO,Rogaland,251,,2020-03-24T00:00:00
NO,Vestland,279,,2020-03-24T00:00:00
NO,Oslo,657,,2020-03-24T00:00:00
NO,Viken,748,,2020-03-24T00:00:00
NO,Nordland,22,,2020-03-25T00:00:00
NO,Møre og Romsdal,55,,2020-03-25T00:00:00
NO,Troms og Finnmark,73,,2020-03-25T00:00:00
NO,Agder,101,,2020-03-25T00:00:00
NO,Vestfold og Telemark,107,,2020-03-25T00:00:00
NO,Trøndelag,179,,2020-03-25T00:00:00
NO,Innlandet,193,,2020-03-25T00:00:00
NO,Rogaland,266,,2020-03-25T00:00:00
NO,Vestland,297,,2020-03-25T00:00:00
NO,Oslo,719,,2020-03-25T00:00:00
NO,Viken,818,,2020-03-25T00:00:00
NO,Unknown county,25,,2020-03-26T00:00:00
NO,Nordland,29,,2020-03-26T00:00:00
NO,Møre og Romsdal,71,,2020-03-26T00:00:00
NO,Troms og Finnmark,93,,2020-03-26T00:00:00
NO,Agder,134,,2020-03-26T00:00:00
NO,Vestfold og Telemark,136,,2020-03-26T00:00:00
NO,Innlandet,147,,2020-03-26T00:00:00
NO,Trøndelag,236,,2020-03-26T00:00:00
NO,Rogaland,270,,2020-03-26T00:00:00
NO,Vestland,375,,2020-03-26T00:00:00
NO,Oslo,744,,2020-03-26T00:00:00
NO,Viken,896,,2020-03-26T00:00:00
NO,Unknown county,3,,2020-03-27T00:00:00
NO,Nordland,36,,2020-03-27T00:00:00
NO,Møre og Romsdal,74,,2020-03-27T00:00:00
NO,Troms og Finnmark,116,,2020-03-27T00:00:00
NO,Vestfold og Telemark,146,,2020-03-27T00:00:00
NO,Agder,148,,2020-03-27T00:00:00
NO,Innlandet,200,,2020-03-27T00:00:00
NO,Trøndelag,261,,2020-03-27T00:00:00
NO,Rogaland,277,,2020-03-27T00:00:00
NO,Vestland,410,,2020-03-27T00:00:00
NO,Oslo,903,,2020-03-27T00:00:00
NO,Viken,1007,,2020-03-27T00:00:00
NO,Nordland,42,,2020-03-28T00:00:00
NO,Møre og Romsdal,80,,2020-03-28T00:00:00
NO,Troms og Finnmark,129,,2020-03-28T00:00:00
NO,Vestfold og Telemark,149,,2020-03-28T00:00:00
NO,Agder,159,,2020-03-28T00:00:00
NO,Innlandet,228,,2020-03-28T00:00:00
NO,Trøndelag,281,,2020-03-28T00:00:00
NO,Rogaland,304,,2020-03-28T00:00:00
NO,Vestland,436,,2020-03-28T00:00:00
NO,Oslo,989,,2020-03-28T00:00:00
NO,Viken,1048,,2020-03-28T00:00:00
NO,Nordland,46,,2020-03-29T00:00:00
NO,Møre og Romsdal,81,,2020-03-29T00:00:00
NO,Troms og Finnmark,143,,2020-03-29T00:00:00
NO,Vestfold og Telemark,154,,2020-03-29T00:00:00
NO,Agder,161,,2020-03-29T00:00:00
NO,Innlandet,246,,2020-03-29T00:00:00
NO,Trøndelag,296,,2020-03-29T00:00:00
NO,Rogaland,305,,2020-03-29T00:00:00
NO,Vestland,445,,2020-03-29T00:00:00
NO,Viken,1107,,2020-03-29T00:00:00
NO,Oslo,1118,,2020-03-29T00:00:00
NO,Nordland,48,,2020-03-30T00:00:00
NO,Møre og Romsdal,81,,2020-03-30T00:00:00
NO,Troms og Finnmark,146,,2020-03-30T00:00:00
NO,Vestfold og Telemark,163,,2020-03-30T00:00:00
NO,Agder,166,,2020-03-30T00:00:00
NO,Innlandet,258,,2020-03-30T00:00:00
NO,Rogaland,305,,2020-03-30T00:00:00
NO,Trøndelag,311,,2020-03-30T00:00:00
NO,Vestland,460,,2020-03-30T00:00:00
NO,Viken,1118,,2020-03-30T00:00:00
NO,Oslo,1169,,2020-03-30T00:00:00
NO,Outside mainland Norway,1,,2020-03-31T00:00:00
NO,Nordland,52,,2020-03-31T00:00:00
NO,Møre og Romsdal,82,,2020-03-31T00:00:00
NO,Troms og Finnmark,152,,2020-03-31T00:00:00
NO,Vestfold og Telemark,174,,2020-03-31T00:00:00
NO,Agder,176,,2020-03-31T00:00:00
NO,Innlandet,293,,2020-03-31T00:00:00
NO,Rogaland,317,,2020-03-31T00:00:00
NO,Trøndelag,320,,2020-03-31T00:00:00
NO,Vestland,467,,2020-03-31T00:00:00
NO,Viken,1180,,2020-03-31T00:00:00
NO,Oslo,1233,,2020-03-31T00:00:00
NO,Unknown,2,,2020-04-01T00:00:00
NO,Nordland,62,,2020-04-01T00:00:00
NO,Møre og Romsdal,90,,2020-04-01T00:00:00
NO,Troms og Finnmark,157,,2020-04-01T00:00:00
NO,Vestfold og Telemark,180,,2020-04-01T00:00:00
NO,Agder,190,,2020-04-01T00:00:00
NO,Rogaland,321,,2020-04-01T00:00:00
NO,Innlandet,327,,2020-04-01T00:00:00
NO,Trøndelag,330,,2020-04-01T00:00:00
NO,Vestland,490,,2020-04-01T00:00:00
NO,Viken,1225,,2020-04-01T00:00:00
NO,Oslo,1281,,2020-04-01T00:00:00
NO,Unknown,0,,2020-04-02T00:00:00
NO,Nordland,68,,2020-04-02T00:00:00
NO,Møre og Romsdal,95,,2020-04-02T00:00:00
NO,Troms og Finnmark,164,,2020-04-02T00:00:00
NO,Vestfold og Telemark,190,,2020-04-02T00:00:00
NO,Agder,207,,2020-04-02T00:00:00
NO,Rogaland,332,,2020-04-02T00:00:00
NO,Trøndelag,340,,2020-04-02T00:00:00
NO,Innlandet,344,,2020-04-02T00:00:00
NO,Vestland,510,,2020-04-02T00:00:00
NO,Viken,1306,,2020-04-02T00:00:00
NO,Oslo,1379,,2020-04-02T00:00:00
NO,Unknown,1,,2020-04-03T00:00:00
NO,Nordland,71,,2020-04-03T00:00:00
NO,Møre og Romsdal,106,,2020-04-03T00:00:00
NO,Troms og Finnmark,176,,2020-04-03T00:00:00
NO,Vestfold og Telemark,201,,2020-04-03T00:00:00
NO,Agder,221,,2020-04-03T00:00:00
NO,Innlandet,350,,2020-04-03T00:00:00
NO,Rogaland,351,,2020-04-03T00:00:00
NO,Trøndelag,352,,2020-04-03T00:00:00
NO,Vestland,525,,2020-04-03T00:00:00
NO,Viken,1416,,2020-04-03T00:00:00
NO,Oslo,1438,,2020-04-03T00:00:00
NO,Unknown,2,,2020-04-04T00:00:00
NO,Nordland,74,,2020-04-04T00:00:00
NO,Møre og Romsdal,113,,2020-04-04T00:00:00
NO,Troms og Finnmark,178,,2020-04-04T00:00:00
NO,Vestfold og Telemark,217,,2020-04-04T00:00:00
NO,Agder,227,,2020-04-04T00:00:00
NO,Innlandet,360,,2020-04-04T00:00:00
NO,Trøndelag,361,,2020-04-04T00:00:00
NO,Rogaland,368,,2020-04-04T00:00:00
NO,Vestland,552,,2020-04-04T00:00:00
NO,Viken,1524,,2020-04-04T00:00:00
NO,Oslo,1534,,2020-04-04T00:00:00
NO,Unknown,2,,2020-04-05T00:00:00
NO,Nordland,75,,2020-04-05T00:00:00
NO,Møre og Romsdal,115,,2020-04-05T00:00:00
NO,Troms og Finnmark,181,,2020-04-05T00:00:00
NO,Vestfold og Telemark,220,,2020-04-05T00:00:00
NO,Agder,230,,2020-04-05T00:00:00
NO,Innlandet,362,,2020-04-05T00:00:00
NO,Trøndelag,369,,2020-04-05T00:00:00
NO,Rogaland,372,,2020-04-05T00:00:00
NO,Vestland,556,,2020-04-05T00:00:00
NO,Viken,1576,,2020-04-05T00:00:00
NO,Oslo,1582,,2020-04-05T00:00:00
NO,Unknown,2,,2020-04-06T00:00:00
NO,Nordland,76,,2020-04-06T00:00:00
NO,Møre og Romsdal,116,,2020-04-06T00:00:00
NO,Troms og Finnmark,181,,2020-04-06T00:00:00
NO,Vestfold og Telemark,224,,2020-04-06T00:00:00
NO,Agder,231,,2020-04-06T00:00:00
NO,Innlandet,369,,2020-04-06T00:00:00
NO,Trøndelag,372,,2020-04-06T00:00:00
NO,Rogaland,377,,2020-04-06T00:00:00
NO,Vestland,573,,2020-04-06T00:00:00
NO,Viken,1608,,2020-04-06T00:00:00
NO,Oslo,1626,,2020-04-06T00:00:00
NO,Unknown,1,,2020-04-07T00:00:00
NO,Nordland,77,,2020-04-07T00:00:00
NO,Møre og Romsdal,115,,2020-04-07T00:00:00
NO,Troms og Finnmark,184,,2020-04-07T00:00:00
NO,Vestfold og Telemark,226,,2020-04-07T00:00:00
NO,Agder,236,,2020-04-07T00:00:00
NO,Innlandet,373,,2020-04-07T00:00:00
NO,Trøndelag,375,,2020-04-07T00:00:00
NO,Rogaland,378,,2020-04-07T00:00:00
NO,Vestland,578,,2020-04-07T00:00:00
NO,Viken,1647,,2020-04-07T00:00:00
NO,Oslo,1673,,2020-04-07T00:00:00
NO,Unknown,1,,2020-04-08T00:00:00
NO,Nordland,84,,2020-04-08T00:00:00
NO,Møre og Romsdal,116,,2020-04-08T00:00:00
NO,Troms og Finnmark,185,,2020-04-08T00:00:00
NO,Vestfold og Telemark,234,,2020-04-08T00:00:00
NO,Agder,243,,2020-04-08T00:00:00
NO,Trøndelag,377,,2020-04-08T00:00:00
NO,Rogaland,379,,2020-04-08T00:00:00
NO,Innlandet,381,,2020-04-08T00:00:00
NO,Vestland,603,,2020-04-08T00:00:00
NO,Viken,1677,,2020-04-08T00:00:00
NO,Oslo,1730,,2020-04-08T00:00:00
NO,Unknown,6,,2020-04-09T00:00:00
NO,Nordland,86,,2020-04-09T00:00:00
NO,Møre og Romsdal,116,,2020-04-09T00:00:00
NO,Troms og Finnmark,187,,2020-04-09T00:00:00
NO,Vestfold og Telemark,237,,2020-04-09T00:00:00
NO,Agder,249,,2020-04-09T00:00:00
NO,Rogaland,379,,2020-04-09T00:00:00
NO,Innlandet,387,,2020-04-09T00:00:00
NO,Trøndelag,388,,2020-04-09T00:00:00
NO,Vestland,633,,2020-04-09T00:00:00
NO,Viken,1712,,2020-04-09T00:00:00
NO,Oslo,1780,,2020-04-09T00:00:00
NO,Unknown,3,,2020-04-10T00:00:00
NO,Nordland,87,,2020-04-10T00:00:00
NO,Møre og Romsdal,116,,2020-04-10T00:00:00
NO,Troms og Finnmark,188,,2020-04-10T00:00:00
NO,Vestfold og Telemark,237,,2020-04-10T00:00:00
NO,Agder,253,,2020-04-10T00:00:00
NO,Rogaland,379,,2020-04-10T00:00:00
NO,Innlandet,389,,2020-04-10T00:00:00
NO,Trøndelag,391,,2020-04-10T00:00:00
NO,Vestland,646,,2020-04-10T00:00:00
NO,Viken,1728,,2020-04-10T00:00:00
NO,Oslo,1827,,2020-04-10T00:00:00
NO,Unknown,4,,2020-04-11T00:00:00
NO,Nordland,90,,2020-04-11T00:00:00
NO,Møre og Romsdal,116,,2020-04-11T00:00:00
NO,Troms og Finnmark,190,,2020-04-11T00:00:00
NO,Vestfold og Telemark,238,,2020-04-11T00:00:00
NO,Agder,258,,2020-04-11T00:00:00
NO,Rogaland,378,,2020-04-11T00:00:00
NO,Innlandet,392,,2020-04-11T00:00:00
NO,Trøndelag,393,,2020-04-11T00:00:00
NO,Vestland,648,,2020-04-11T00:00:00
NO,Viken,1747,,2020-04-11T00:00:00
NO,Oslo,1866,,2020-04-11T00:00:00
NO,Unknown,7,,2020-04-12T00:00:00
NO,Nordland,91,,2020-04-12T00:00:00
NO,Møre og Romsdal,116,,2020-04-12T00:00:00
NO,Troms og Finnmark,190,,2020-04-12T00:00:00
NO,Vestfold og Telemark,241,,2020-04-12T00:00:00
NO,Agder,261,,2020-04-12T00:00:00
NO,Rogaland,380,,2020-04-12T00:00:00
NO,Innlandet,395,,2020-04-12T00:00:00
NO,Trøndelag,400,,2020-04-12T00:00:00
NO,Vestland,670,,2020-04-12T00:00:00
NO,Viken,1771,,2020-04-12T00:00:00
NO,Oslo,1893,,2020-04-12T00:00:00
NO,Unknown,9,,2020-04-13T00:00:00
NO,Nordland,95,,2020-04-13T00:00:00
NO,Møre og Romsdal,117,,2020-04-13T00:00:00
NO,Troms og Finnmark,197,,2020-04-13T00:00:00
NO,Vestfold og Telemark,247,,2020-04-13T00:00:00
NO,Agder,266,,2020-04-13T00:00:00
NO,Rogaland,380,,2020-04-13T00:00:00
NO,Innlandet,398,,2020-04-13T00:00:00
NO,Trøndelag,403,,2020-04-13T00:00:00
NO,Vestland,684,,2020-04-13T00:00:00
NO,Viken,1810,,2020-04-13T00:00:00
NO,Oslo,1960,,2020-04-13T00:00:00
NO,Unknown,9,,2020-04-15T00:00:00
NO,Nordland,97,,2020-04-15T00:00:00
NO,Møre og Romsdal,117,,2020-04-15T00:00:00
NO,Troms og Finnmark,200,,2020-04-15T00:00:00
NO,Vestfold og Telemark,250,,2020-04-15T00:00:00
NO,Agder,268,,2020-04-15T00:00:00
NO,Rogaland,382,,2020-04-15T00:00:00
