country,nuts_3,cases,cases/100k pop.,datetime
NO,Innlandet,399,,2020-04-15T00:00:00
NO,Trøndelag,405,,2020-04-15T00:00:00
NO,Vestland,729,,2020-04-15T00:00:00
NO,Viken,1836,,2020-04-15T00:00:00
NO,Oslo,1985,,2020-04-15T00:00:00
NO,Unknown,1,,2020-04-16T00:00:00
NO,Nordland,104,,2020-04-16T00:00:00
NO,Møre og Romsdal,118,,2020-04-16T00:00:00
NO,Troms og Finnmark,203,,2020-04-16T00:00:00
NO,Vestfold og Telemark,251,,2020-04-16T00:00:00
NO,Agder,275,,2020-04-16T00:00:00
NO,Rogaland,383,,2020-04-16T00:00:00
NO,Innlandet,403,,2020-04-16T00:00:00
NO,Trøndelag,406,,2020-04-16T00:00:00
NO,Vestland,743,,2020-04-16T00:00:00
NO,Viken,1864,,2020-04-16T00:00:00
NO,Oslo,2031,,2020-04-16T00:00:00
NO,Unknown,1,,2020-04-18T00:00:00
NO,Nordland,108,,2020-04-18T00:00:00
NO,Møre og Romsdal,118,,2020-04-18T00:00:00
NO,Troms og Finnmark,212,,2020-04-18T00:00:00
NO,Vestfold og Telemark,260,,2020-04-18T00:00:00
NO,Agder,286,,2020-04-18T00:00:00
NO,Rogaland,391,,2020-04-18T00:00:00
NO,Innlandet,409,,2020-04-18T00:00:00
NO,Trøndelag,414,,2020-04-18T00:00:00
NO,Vestland,787,,2020-04-18T00:00:00
NO,Viken,1903,,2020-04-18T00:00:00
NO,Oslo,2095,,2020-04-18T00:00:00
NO,Unknown,1,,2020-04-19T00:00:00
NO,Nordland,109,,2020-04-19T00:00:00
NO,Møre og Romsdal,118,,2020-04-19T00:00:00
NO,Troms og Finnmark,218,,2020-04-19T00:00:00
NO,Vestfold og Telemark,261,,2020-04-19T00:00:00
NO,Agder,287,,2020-04-19T00:00:00
NO,Rogaland,391,,2020-04-19T00:00:00
NO,Innlandet,412,,2020-04-19T00:00:00
NO,Trøndelag,418,,2020-04-19T00:00:00
NO,Vestland,792,,2020-04-19T00:00:00
NO,Viken,1929,,2020-04-19T00:00:00
NO,Oslo,2132,,2020-04-19T00:00:00
NO,Unknown,2,,2020-04-20T00:00:00
NO,Nordland,109,,2020-04-20T00:00:00
NO,Møre og Romsdal,118,,2020-04-20T00:00:00
NO,Troms og Finnmark,223,,2020-04-20T00:00:00
NO,Vestfold og Telemark,261,,2020-04-20T00:00:00
NO,Agder,292,,2020-04-20T00:00:00
NO,Rogaland,392,,2020-04-20T00:00:00
NO,Innlandet,412,,2020-04-20T00:00:00
NO,Trøndelag,420,,2020-04-20T00:00:00
NO,Vestland,795,,2020-04-20T00:00:00
NO,Viken,1933,,2020-04-20T00:00:00
NO,Oslo,2156,,2020-04-20T00:00:00
NO,Nordland,110,45.6,2020-04-21T00:00:00
NO,Møre og Romsdal,118,44.5,2020-04-21T00:00:00
NO,Troms og Finnmark,225,92.5,2020-04-21T00:00:00
NO,Vestfold og Telemark,263,62.7,2020-04-21T00:00:00
NO,Agder,294,95.7,2020-04-21T00:00:00
NO,Rogaland,393,81.9,2020-04-21T00:00:00
NO,Innlandet,414,111.5,2020-04-21T00:00:00
NO,Trøndelag,422,90.0,2020-04-21T00:00:00
NO,Vestland,807,126.8,2020-04-21T00:00:00
NO,Viken,1940,156.3,2020-04-21T00:00:00
NO,Oslo,2177,313.9,2020-04-21T00:00:00
NO,Nordland,110,45.6,2020-04-22T00:00:00
NO,Møre og Romsdal,118,44.5,2020-04-22T00:00:00
NO,Troms og Finnmark,227,93.3,2020-04-22T00:00:00
NO,Vestfold og Telemark,263,62.7,2020-04-22T00:00:00
NO,Agder,303,98.6,2020-04-22T00:00:00
NO,Rogaland,395,82.3,2020-04-22T00:00:00
NO,Innlandet,418,112.6,2020-04-22T00:00:00
NO,Trøndelag,423,90.2,2020-04-22T00:00:00
NO,Vestland,812,127.6,2020-04-22T00:00:00
NO,Viken,1967,158.5,2020-04-22T00:00:00
NO,Oslo,2212,319.0,2020-04-22T00:00:00
NO,Nordland,110,45.6,2020-04-23T00:00:00
NO,Møre og Romsdal,119,44.9,2020-04-23T00:00:00
NO,Troms og Finnmark,230,94.5,2020-04-23T00:00:00
NO,Vestfold og Telemark,265,63.2,2020-04-23T00:00:00
NO,Agder,312,101.6,2020-04-23T00:00:00
NO,Rogaland,397,82.7,2020-04-23T00:00:00
NO,Innlandet,419,112.8,2020-04-23T00:00:00
NO,Trøndelag,431,92.0,2020-04-23T00:00:00
NO,Vestland,819,128.7,2020-04-23T00:00:00
NO,Viken,1991,160.4,2020-04-23T00:00:00
NO,Oslo,2252,324.7,2020-04-23T00:00:00
NO,Nordland,113,46.8,2020-04-24T00:00:00
NO,Møre og Romsdal,120,45.2,2020-04-24T00:00:00
NO,Troms og Finnmark,229,94.1,2020-04-24T00:00:00
NO,Vestfold og Telemark,268,63.9,2020-04-24T00:00:00
NO,Agder,316,102.9,2020-04-24T00:00:00
NO,Rogaland,397,82.7,2020-04-24T00:00:00
NO,Innlandet,424,114.2,2020-04-24T00:00:00
NO,Trøndelag,434,92.6,2020-04-24T00:00:00
NO,Vestland,829,130.2,2020-04-24T00:00:00
NO,Viken,2005,161.5,2020-04-24T00:00:00
NO,Oslo,2273,327.8,2020-04-24T00:00:00
NO,Nordland,113,46.8,2020-04-27T00:00:00
NO,Møre og Romsdal,121,45.6,2020-04-27T00:00:00
NO,Troms og Finnmark,232,95.4,2020-04-27T00:00:00
NO,Vestfold og Telemark,271,64.6,2020-04-27T00:00:00
NO,Agder,319,103.8,2020-04-27T00:00:00
NO,Rogaland,400,83.4,2020-04-27T00:00:00
NO,Innlandet,430,115.8,2020-04-27T00:00:00
NO,Trøndelag,459,97.9,2020-04-27T00:00:00
NO,Vestland,835,131.2,2020-04-27T00:00:00
NO,Viken,2029,163.5,2020-04-27T00:00:00
NO,Oslo,2324,335.1,2020-04-27T00:00:00
NO,Nordland,114,47.3,2020-04-28T00:00:00
NO,Møre og Romsdal,122,46.0,2020-04-28T00:00:00
NO,Troms og Finnmark,234,96.2,2020-04-28T00:00:00
NO,Vestfold og Telemark,271,64.6,2020-04-28T00:00:00
NO,Agder,323,105.1,2020-04-28T00:00:00
NO,Rogaland,422,87.9,2020-04-28T00:00:00
NO,Innlandet,432,116.3,2020-04-28T00:00:00
NO,Trøndelag,471,100.5,2020-04-28T00:00:00
NO,Vestland,841,132.1,2020-04-28T00:00:00
NO,Viken,2036,164.0,2020-04-28T00:00:00
NO,Oslo,2339,337.3,2020-04-28T00:00:00
NO,Nordland,114,47.3,2020-04-29T00:00:00
NO,Møre og Romsdal,123,46.4,2020-04-29T00:00:00
NO,Troms og Finnmark,237,97.4,2020-04-29T00:00:00
NO,Vestfold og Telemark,272,64.9,2020-04-29T00:00:00
NO,Agder,324,105.5,2020-04-29T00:00:00
NO,Rogaland,423,88.1,2020-04-29T00:00:00
NO,Innlandet,437,117.7,2020-04-29T00:00:00
NO,Trøndelag,472,100.7,2020-04-29T00:00:00
NO,Vestland,853,134.0,2020-04-29T00:00:00
NO,Viken,2058,165.8,2020-04-29T00:00:00
NO,Oslo,2354,339.4,2020-04-29T00:00:00
NO,Nordland,114,47.3,2020-04-30T00:00:00
NO,Møre og Romsdal,123,46.4,2020-04-30T00:00:00
NO,Troms og Finnmark,240,98.6,2020-04-30T00:00:00
NO,Vestfold og Telemark,272,64.9,2020-04-30T00:00:00
NO,Agder,325,105.8,2020-04-30T00:00:00
NO,Rogaland,431,89.8,2020-04-30T00:00:00
NO,Innlandet,437,117.7,2020-04-30T00:00:00
NO,Trøndelag,477,101.8,2020-04-30T00:00:00
NO,Vestland,856,134.5,2020-04-30T00:00:00
NO,Viken,2071,166.9,2020-04-30T00:00:00
NO,Oslo,2364,340.9,2020-04-30T00:00:00
NO,Nordland,115,47.7,2020-05-07T00:00:00
NO,Møre og Romsdal,123,46.4,2020-05-07T00:00:00
NO,Troms og Finnmark,247,101.5,2020-05-07T00:00:00
NO,Vestfold og Telemark,278,66.3,2020-05-07T00:00:00
NO,Agder,333,108.4,2020-05-07T00:00:00
NO,Rogaland,435,90.6,2020-05-07T00:00:00
NO,Innlandet,453,122.0,2020-05-07T00:00:00
NO,Trøndelag,506,108.0,2020-05-07T00:00:00
NO,Vestland,871,136.8,2020-05-07T00:00:00
NO,Viken,2122,171.0,2020-05-07T00:00:00
NO,Oslo,2470,356.2,2020-05-07T00:00:00
NO,Nordland,115,47.7,2020-05-09T00:00:00
NO,Møre og Romsdal,123,46.4,2020-05-09T00:00:00
NO,Troms og Finnmark,247,101.5,2020-05-09T00:00:00
NO,Vestfold og Telemark,278,66.3,2020-05-09T00:00:00
NO,Agder,333,108.4,2020-05-09T00:00:00
NO,Rogaland,435,90.6,2020-05-09T00:00:00
NO,Innlandet,453,122.0,2020-05-09T00:00:00
NO,Trøndelag,506,108.0,2020-05-09T00:00:00
NO,Vestland,871,136.8,2020-05-09T00:00:00
NO,Viken,2122,171.0,2020-05-09T00:00:00
NO,Oslo,2470,356.2,2020-05-09T00:00:00
NO,Nordland,115,47.7,2020-05-11T00:00:00
NO,Møre og Romsdal,123,46.4,2020-05-11T00:00:00
NO,Troms og Finnmark,247,101.5,2020-05-11T00:00:00
NO,Vestfold og Telemark,278,66.3,2020-05-11T00:00:00
NO,Agder,333,108.4,2020-05-11T00:00:00
NO,Rogaland,435,90.6,2020-05-11T00:00:00
NO,Innlandet,453,122.0,2020-05-11T00:00:00
NO,Trøndelag,506,108.0,2020-05-11T00:00:00
NO,Vestland,871,136.8,2020-05-11T00:00:00
NO,Viken,2122,171.0,2020-05-11T00:00:00
NO,Oslo,2470,356.2,2020-05-11T00:00:00
NO,nordland,116,48.1,2020-05-12T00:00:00
NO,møre og romsdal,129,48.6,2020-05-12T00:00:00
NO,troms og finnmark,251,103.2,2020-05-12T00:00:00
NO,vestfold og telemark,279,66.5,2020-05-12T00:00:00
NO,agder,336,109.4,2020-05-12T00:00:00
NO,rogaland,437,91.1,2020-05-12T00:00:00
NO,innlandet,467,125.7,2020-05-12T00:00:00
NO,trøndelag,519,110.7,2020-05-12T00:00:00
NO,vestland,877,137.8,2020-05-12T00:00:00
NO,viken,2187,176.2,2020-05-12T00:00:00
NO,oslo,2537,365.8,2020-05-12T00:00:00
NO,nordland,117,48.5,2020-05-13T00:00:00
NO,møre og romsdal,132,49.8,2020-05-13T00:00:00
NO,troms og finnmark,251,103.2,2020-05-13T00:00:00
NO,vestfold og telemark,281,67.0,2020-05-13T00:00:00
NO,agder,336,109.4,2020-05-13T00:00:00
NO,rogaland,438,91.3,2020-05-13T00:00:00
NO,innlandet,472,127.1,2020-05-13T00:00:00
NO,trøndelag,523,111.6,2020-05-13T00:00:00
NO,vestland,878,137.9,2020-05-13T00:00:00
NO,viken,2200,177.3,2020-05-13T00:00:00
NO,oslo,2547,367.3,2020-05-13T00:00:00
NO,nordland,117,48.5,2020-05-14T00:00:00
NO,møre og romsdal,132,49.8,2020-05-14T00:00:00
NO,troms og finnmark,251,103.2,2020-05-14T00:00:00
NO,vestfold og telemark,281,67.0,2020-05-14T00:00:00
NO,agder,336,109.4,2020-05-14T00:00:00
NO,rogaland,438,91.3,2020-05-14T00:00:00
NO,innlandet,477,128.4,2020-05-14T00:00:00
NO,trøndelag,525,112.0,2020-05-14T00:00:00
NO,vestland,879,138.1,2020-05-14T00:00:00
NO,viken,2209,178.0,2020-05-14T00:00:00
NO,oslo,2551,367.8,2020-05-14T00:00:00
NO,nordland,117,48.5,2020-05-15T00:00:00
NO,møre og romsdal,133,50.1,2020-05-15T00:00:00
NO,troms og finnmark,252,103.6,2020-05-15T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-15T00:00:00
NO,agder,338,110.0,2020-05-15T00:00:00
NO,rogaland,438,91.3,2020-05-15T00:00:00
NO,innlandet,480,129.2,2020-05-15T00:00:00
NO,trøndelag,530,113.1,2020-05-15T00:00:00
NO,vestland,879,138.1,2020-05-15T00:00:00
NO,viken,2230,179.7,2020-05-15T00:00:00
NO,oslo,2568,370.3,2020-05-15T00:00:00
NO,nordland,117,48.5,2020-05-18T00:00:00
NO,møre og romsdal,133,50.1,2020-05-18T00:00:00
NO,troms og finnmark,252,103.6,2020-05-18T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-18T00:00:00
NO,agder,338,110.0,2020-05-18T00:00:00
NO,rogaland,438,91.3,2020-05-18T00:00:00
NO,innlandet,480,129.2,2020-05-18T00:00:00
NO,trøndelag,530,113.1,2020-05-18T00:00:00
NO,vestland,879,138.1,2020-05-18T00:00:00
NO,viken,2230,179.7,2020-05-18T00:00:00
NO,oslo,2568,370.3,2020-05-18T00:00:00
NO,nordland,117,48.5,2020-05-19T00:00:00
NO,møre og romsdal,133,50.1,2020-05-19T00:00:00
NO,troms og finnmark,252,103.6,2020-05-19T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-19T00:00:00
NO,agder,338,110.0,2020-05-19T00:00:00
NO,rogaland,438,91.3,2020-05-19T00:00:00
NO,innlandet,480,129.2,2020-05-19T00:00:00
NO,trøndelag,530,113.1,2020-05-19T00:00:00
NO,vestland,880,138.2,2020-05-19T00:00:00
NO,viken,2235,180.1,2020-05-19T00:00:00
NO,oslo,2572,370.9,2020-05-19T00:00:00
NO,nordland,117,48.5,2020-05-20T00:00:00
NO,møre og romsdal,133,50.1,2020-05-20T00:00:00
NO,troms og finnmark,252,103.6,2020-05-20T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-20T00:00:00
NO,agder,338,110.0,2020-05-20T00:00:00
NO,rogaland,438,91.3,2020-05-20T00:00:00
NO,innlandet,480,129.2,2020-05-20T00:00:00
NO,trøndelag,532,113.5,2020-05-20T00:00:00
NO,vestland,881,138.4,2020-05-20T00:00:00
NO,viken,2242,180.6,2020-05-20T00:00:00
NO,oslo,2572,370.9,2020-05-20T00:00:00
NO,nordland,117,48.5,2020-05-21T00:00:00
NO,møre og romsdal,133,50.1,2020-05-21T00:00:00
NO,troms og finnmark,252,103.6,2020-05-21T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-21T00:00:00
NO,agder,338,110.0,2020-05-21T00:00:00
NO,rogaland,438,91.3,2020-05-21T00:00:00
NO,innlandet,480,129.2,2020-05-21T00:00:00
NO,trøndelag,532,113.5,2020-05-21T00:00:00
NO,vestland,881,138.4,2020-05-21T00:00:00
NO,viken,2242,180.6,2020-05-21T00:00:00
NO,oslo,2572,370.9,2020-05-21T00:00:00
NO,nordland,118,48.9,2020-05-22T00:00:00
NO,møre og romsdal,133,50.1,2020-05-22T00:00:00
NO,troms og finnmark,252,103.6,2020-05-22T00:00:00
NO,vestfold og telemark,284,67.7,2020-05-22T00:00:00
NO,agder,338,110.0,2020-05-22T00:00:00
NO,rogaland,438,91.3,2020-05-22T00:00:00
NO,innlandet,486,130.9,2020-05-22T00:00:00
NO,trøndelag,532,113.5,2020-05-22T00:00:00
NO,vestland,882,138.6,2020-05-22T00:00:00
NO,viken,2257,181.8,2020-05-22T00:00:00
NO,oslo,2589,373.3,2020-05-22T00:00:00
