Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Guadeloupe,Martinique,Guyane,La Réunion,Mayotte,Total
24/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
25/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
26/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
27/01/2020,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
28/01/2020,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4
29/01/2020,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,5
30/01/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
31/01/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
01/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
02/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
03/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
04/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
05/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
06/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
07/02/2020,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
08/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
09/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
10/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
11/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
12/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
13/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
14/02/2020,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,11
15/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
16/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
17/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
18/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
19/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
20/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
21/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
22/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
23/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
24/02/2020,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,12
25/02/2020,7,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,14
26/02/2020,8,0,0,0,0,1,2,6,0,1,0,0,0,0,0,0,0,0,18
27/02/2020,11,4,1,0,0,1,9,9,0,1,1,0,1,0,0,0,0,0,38
28/02/2020,11,5,1,0,0,1,9,9,0,2,2,2,4,0,0,0,0,0,46
29/02/2020,,,2,0,0,2,36,,1,4,,,,0,0,0,0,0,100
01/03/2020,,,9,0,0,7,47,,0,4,,,,3,0,0,0,0,130
02/03/2020,37,8,19,0,0,12,49,37,2,4,6,5,9,3,0,0,0,0,191
03/03/2020,40,13,19,0,0,13,59,37,2,4,7,5,10,3,0,0,0,0,212
04/03/2020,49,16,23,0,0,38,65,55,2,5,9,7,13,3,0,0,0,0,285
05/03/2020,64,39,29,2,3,77,74,76,6,8,11,8,18,3,0,5,0,0,423
06/03/2020,75,78,32,11,3,136,97,89,11,11,18,16,26,3,2,5,0,0,613
07/03/2020,102,129,40,16,5,250,173,104,11,17,36,18,38,3,2,5,0,0,949
08/03/2020,146,129,47,16,33,262,173,243,22,29,36,18,38,3,2,5,0,0,1126
09/03/2020,182,129,71,17,38,262,173,300,22,40,60,18,52,3,2,5,0,0,1412
10/03/2020,227,146,81,18,42,464,209,334,37,54,61,27,89,3,3,5,0,0,1784
11/03/2020,262,155,94,20,51,578,263,492,54,66,87,34,111,3,3,6,1,0,2281
12/03/2020,333,219,117,30,64,699,349,577,68,87,133,41,147,3,4,6,3,0,2876
13/03/2020,449,272,155,33,85,911,397,721,97,114,172,55,212,3,6,6,5,0,3661
14/03/2020,449,339,182,54,106,1085,466,949,127,130,214,82,281,3,7,7,6,1,4499
15/03/2020,523,412,207,71,115,1378,507,1209,143,152,254,98,330,6,7,11,9,1,5423
16/03/2020,618,507,233,90,126,1543,585,1762,156,179,284,108,405,18,16,,9,1,6633
17/03/2020,710,549,247,103,145,1820,612,2177,174,207,311,126,478,27,16,,12,3,7730
18/03/2020,858,593,273,128,152,2163,665,2693,208,237,371,128,574,33,16,15,14,3,9134
19/03/2020,1014,696,297,157,162,2643,700,3384,241,280,444,160,693,45,32,15,19,6,10995
20/03/2020,1101,770,346,219,168,3006,759,3818,287,432,537,190,826,51,35,18,38,7,12612
21/03/2020,1266,903,359,254,173,3089,791,4695,345,521,611,234,1041,56,37,19,47,11,14459
22/03/2020,1431,1178,397,291,183,3395,936,5283,462,612,671,270,1372,58,44,20,65,14,16018
23/03/2020,1730,1347,490,361,194,4256,1269,6211,511,676,781,293,1510,62,53,23,75,24,19856
24/03/2020,1857,1510,526,450,217,4922,1532,6798,586,789,900,343,1595,73,57,27,94,30,22302
25/03/2020,2093,1569,603,561,225,5479,1753,7660,688,912,1082,379,1927,76,66,30,115,35,25233
26/03/2020,,,707,645,250,,1910,,789,1007,1285,459,,,80,31,135,42,29155
27/03/2020,,,,830,,,,,912,1172,,,,,93,34,,50,32964
28/03/2020,,,,,,,,,,1357,,,,102,,37,143,,37575
29/03/2020,,,,1157,,,,,,1520,,,,106,,,,,40174
30/03/2020,,,,,,,,,,1608,,,,,,,,,44550
31/03/2020,,,,,,,,,,1720,,,,,,,,,52128
01/04/2020,,,,,,,,,,1845,,,,,,,,,56989
02/04/2020,,,,,,,,,,1991,,,,,,,,,59105
03/04/2020,,,,,,,,,,2097,,,,,,,,,64338
04/04/2020,,,,,,,,,,2236,,,,,,,,,68605
05/04/2020,,,,,,,,,,2369,,,,,,,,,70478
06/04/2020,,,,,,,,,,2426,,,,,,,,,74390
07/04/2020,,,,,,,,,,2539,,,,,,,,,78167
08/04/2020,,,,,,,,,,2663,,,,,,,,,82048
09/04/2020,,,,,,,,,,2804,,,,,,,,,86334
10/04/2020,,,,,,,,,,2909,,,,,,,,,90676
11/04/2020,,,,,,,,,,3086,,,,,,,,,93790
12/04/2020,,,,,,,,,,3301,,,,,,,,,95403
13/04/2020,,,,,,,,,,3356,,,,,,,,,98076
14/04/2020,,,,,,,,,,3419,,,,,,,,,103573
15/04/2020,,,,,,,,,,3505,,,,,,,,,106206
16/04/2020,,,,,,,,,,3666,,,,,,,,,108847
17/04/2020,,,,,,,,,,3817,,,,,,,,,109252
18/04/2020,,,,,,,,,,3898,,,,,,,,,111821
19/04/2020,,,,,,,,,,3973,,,,,,,,,112606
20/04/2020,,,,,,,,,,4028,,,,,,,,,114657
21/04/2020,,,,,,,,,,4263,,,,,,,,,117324
22/04/2020,,,,,,,,,,4356,,,,,,,,,119151
23/04/2020,,,,,,,,,,4387,,,,,,,,,120804
24/04/2020,,,,,,,,,,4461,,,,,,,,,122577
25/04/2020,,,,,,,,,,4503,,,,,,,,,124114
26/04/2020,,,,,,,,,,4537,,,,,,,,,124575
27/04/2020,,,,,,,,,,4553,,,,,,,,,125770
28/04/2020,,,,,,,,,,4582,,,,,,,,,126835
29/04/2020,,,,,,,,,,4615,,,,,,,,,128442
30/04/2020,,,,,,,,,,4647,,,,,,,,,129581
01/05/2020,,,,,,,,,,4672,,,,,,,,,130185
02/05/2020,,,,,,,,,,4683,,,,,,,,,130979
03/05/2020,,,,,,,,,,4707,,,,,,,,,131287
04/05/2020,,,,,,,,,,,,,,,,,,,131863
05/05/2020,,,,,,,,,,,,,,,,,,,132967
06/05/2020,,,,,,,,,,,,,,,,,,,137150
