CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
AN,20/2/2020,0,0,,,,
AR,20/2/2020,,0,,,,
AS,20/2/2020,,0,,,,
IB,20/2/2020,,1,,,,
CN,20/2/2020,,1,,,,
CB,20/2/2020,,0,,,,
CM,20/2/2020,,0,,,,
CL,20/2/2020,,0,,,,
CT,20/2/2020,,0,,,,
CE,20/2/2020,,0,,,,
VC,20/2/2020,,0,,26,0,
EX,20/2/2020,,0,,,,
GA,20/2/2020,,0,,,,
MD,20/2/2020,,1,,,,
ML,20/2/2020,,0,,,,
MC,20/2/2020,,0,,,,
NC,20/2/2020,,0,,,,
PV,20/2/2020,,0,,,,
RI,20/2/2020,,0,,,,
AN,21/2/2020,,0,,,,
AR,21/2/2020,,0,,,,
AS,21/2/2020,,0,,,,
IB,21/2/2020,,1,,,,
CN,21/2/2020,,1,,,,
CB,21/2/2020,,0,,,,
CM,21/2/2020,,0,,,,
CL,21/2/2020,,0,,,,
CT,21/2/2020,,0,,,,
CE,21/2/2020,,0,,,,
VC,21/2/2020,,0,,30,1,
EX,21/2/2020,,0,,,,
GA,21/2/2020,,0,,,,
MD,21/2/2020,,1,,,,
ML,21/2/2020,,0,,,,
MC,21/2/2020,,0,,,,
NC,21/2/2020,,0,,,,
PV,21/2/2020,,0,,,,
RI,21/2/2020,,0,,,,
AN,22/2/2020,,0,,,,
AR,22/2/2020,,0,,,,
AS,22/2/2020,,0,,,,
IB,22/2/2020,,1,,,,
CN,22/2/2020,,1,,,,
CB,22/2/2020,,0,,,,
CM,22/2/2020,,0,,,,
CL,22/2/2020,,0,,,,
CT,22/2/2020,,0,,,,
CE,22/2/2020,,0,,,,
VC,22/2/2020,,0,,33,1,
EX,22/2/2020,,0,,,,
GA,22/2/2020,,0,,,,
MD,22/2/2020,,1,,,,
ML,22/2/2020,,0,,,,
MC,22/2/2020,,0,,,,
NC,22/2/2020,,0,,,,
PV,22/2/2020,,0,,,,
RI,22/2/2020,,0,,,,
AN,23/2/2020,,0,,,,
AR,23/2/2020,,0,,,,
AS,23/2/2020,,0,,,,
IB,23/2/2020,,1,,,,
CN,23/2/2020,,1,,,,
CB,23/2/2020,,0,,,,
CM,23/2/2020,,0,,,,
CL,23/2/2020,,0,,,,
CT,23/2/2020,,0,,,,
CE,23/2/2020,,0,,,,
VC,23/2/2020,,0,,38,2,
EX,23/2/2020,,0,,,,
GA,23/2/2020,,0,,,,
MD,23/2/2020,,1,,,,
ML,23/2/2020,,0,,,,
MC,23/2/2020,,0,,,,
NC,23/2/2020,,0,,,,
PV,23/2/2020,,0,,,,
RI,23/2/2020,,0,,,,
AN,24/2/2020,,0,,,,
AR,24/2/2020,,0,,,,
AS,24/2/2020,,0,,,,
IB,24/2/2020,,1,,,,
CN,24/2/2020,,2,,,,
CB,24/2/2020,,0,,,,
CM,24/2/2020,,0,,,,
CL,24/2/2020,,0,,,,
CT,24/2/2020,,0,,,,
CE,24/2/2020,,0,,,,
VC,24/2/2020,,0,,49,2,
EX,24/2/2020,,0,,,,
GA,24/2/2020,,0,,,,
MD,24/2/2020,,1,,,,
ML,24/2/2020,,0,,,,
MC,24/2/2020,,0,,,,
NC,24/2/2020,,0,,,,
PV,24/2/2020,,0,,,,
RI,24/2/2020,,0,,,,
AN,25/2/2020,,0,,,,
AR,25/2/2020,,0,,,,
AS,25/2/2020,,0,,,,
IB,25/2/2020,,1,,,,
CN,25/2/2020,,5,,,,
CB,25/2/2020,,0,,,,
CM,25/2/2020,,0,,,,
CL,25/2/2020,,0,,,,
CT,25/2/2020,,1,,,,
CE,25/2/2020,,0,,,,
VC,25/2/2020,,1,,58,2,
EX,25/2/2020,,0,,,,
GA,25/2/2020,,0,,,,
MD,25/2/2020,,2,,,,
ML,25/2/2020,,0,,,,
MC,25/2/2020,,0,,,,
NC,25/2/2020,,0,,,,
PV,25/2/2020,,0,,,,
RI,25/2/2020,,0,,,,
AN,26/2/2020,,1,,,,
AR,26/2/2020,,0,,,,
AS,26/2/2020,,0,,,,
IB,26/2/2020,,1,,,,
CN,26/2/2020,,6,,,,
CB,26/2/2020,,0,,,,
CM,26/2/2020,,0,,,,
CL,26/2/2020,,0,,,,
CT,26/2/2020,,2,,,,
CE,26/2/2020,,0,,,,
VC,26/2/2020,,2,,63,3,
EX,26/2/2020,,0,,,,
GA,26/2/2020,,0,,,,
MD,26/2/2020,,6,,,,
ML,26/2/2020,,0,,,,
MC,26/2/2020,,0,,,,
NC,26/2/2020,,0,,,,
PV,26/2/2020,,0,,,,
RI,26/2/2020,,0,,,,
AN,27/2/2020,,6,,,,
AR,27/2/2020,,0,,,,
AS,27/2/2020,,0,,,,
IB,27/2/2020,,1,,,,
CN,27/2/2020,,6,,,,
CB,27/2/2020,,0,,,,
CM,27/2/2020,,0,,,,
CL,27/2/2020,,2,,,,
CT,27/2/2020,,3,,,,
CE,27/2/2020,,0,,,,
VC,27/2/2020,,8,,73,3,
EX,27/2/2020,,0,,,,
GA,27/2/2020,,0,,,,
MD,27/2/2020,,10,,,,
ML,27/2/2020,,0,,,,
MC,27/2/2020,,0,,,,
NC,27/2/2020,,0,,,,
PV,27/2/2020,,0,,,,
RI,27/2/2020,,0,,,,
AN,28/2/2020,,8,,,,
AR,28/2/2020,,0,,,,
AS,28/2/2020,,0,,,,
IB,28/2/2020,,2,,,,
CN,28/2/2020,,6,,,,
CB,28/2/2020,,0,,,,
CM,28/2/2020,,0,,,,
CL,28/2/2020,,2,,,,
CT,28/2/2020,,5,,,,
CE,28/2/2020,,0,,,,
VC,28/2/2020,,10,,78,3,
EX,28/2/2020,,0,,,,
GA,28/2/2020,,0,,,,
MD,28/2/2020,,20,,,,
ML,28/2/2020,,0,,,,
MC,28/2/2020,,0,,,,
NC,28/2/2020,,0,,,,
PV,28/2/2020,,2,,,,
RI,28/2/2020,,0,,,,
AN,29/2/2020,,12,,,,
AR,29/2/2020,,0,,,,
AS,29/2/2020,,1,,0,1,0
IB,29/2/2020,,2,,,,
CN,29/2/2020,,7,,,,
CB,29/2/2020,,1,,,,
CM,29/2/2020,,1,,,,
CL,29/2/2020,,3,,,,
CT,29/2/2020,,6,,,,
CE,29/2/2020,,0,,,,
VC,29/2/2020,,15,,85,3,
EX,29/2/2020,,4,,,,
GA,29/2/2020,,0,,,,
MD,29/2/2020,,27,,,,
ML,29/2/2020,,0,,,,
MC,29/2/2020,,0,,,,
NC,29/2/2020,,1,,,,
PV,29/2/2020,,3,,,,
RI,29/2/2020,,0,,,,
AN,1/3/2020,,12,,,,
AR,1/3/2020,,0,,,,
AS,1/3/2020,,1,,0,1,0
IB,1/3/2020,,2,,,,
CN,1/3/2020,,7,,,,
CB,1/3/2020,,10,,,,
CM,1/3/2020,,3,,,,
CL,1/3/2020,,3,,,,
CT,1/3/2020,,15,,,,
CE,1/3/2020,,0,,,,
VC,1/3/2020,,15,,88,3,
EX,1/3/2020,,6,,,,
GA,1/3/2020,,0,,,,
MD,1/3/2020,,53,,,,
ML,1/3/2020,,0,,,,
MC,1/3/2020,,0,,,,
NC,1/3/2020,,1,,,,
PV,1/3/2020,,9,,,,
RI,1/3/2020,,1,,,,
AN,2/3/2020,,12,,,,
AR,2/3/2020,,0,,,,
AS,2/3/2020,,1,,1,1,0
IB,2/3/2020,,2,,,,
CN,2/3/2020,,7,,,,
CB,2/3/2020,,10,,,,
CM,2/3/2020,,7,,,,
CL,2/3/2020,,8,,,,
CT,2/3/2020,,15,,,,
CE,2/3/2020,,0,,,,
VC,2/3/2020,,15,,93,3,
EX,2/3/2020,,6,,,,
GA,2/3/2020,,0,,,,
MD,2/3/2020,,96,,,,
ML,2/3/2020,,0,,,,
MC,2/3/2020,,0,,,,
NC,2/3/2020,,1,,,,
PV,2/3/2020,,13,,,,
RI,2/3/2020,,2,,,,
AN,3/3/2020,,12,,,,
AR,3/3/2020,,0,,,,
AS,3/3/2020,,2,,1,1,0
IB,3/3/2020,,5,,,,
CN,3/3/2020,,7,,,,
CB,3/3/2020,,10,,,,
CM,3/3/2020,,12,,,,
CL,3/3/2020,,11,,,,
CT,3/3/2020,,15,,,,
CE,3/3/2020,,0,,,,
VC,3/3/2020,,19,,105,5,
EX,3/3/2020,,6,,,,
GA,3/3/2020,,1,,,,
MD,3/3/2020,,142,,,,
ML,3/3/2020,,0,,,,
MC,3/3/2020,,0,,,,
NC,3/3/2020,,3,,,,
PV,3/3/2020,,17,,,,
RI,3/3/2020,,7,,,,
AN,4/3/2020,,12,,,,
AR,4/3/2020,,1,,,,
AS,4/3/2020,,4,,1,1,0
IB,4/3/2020,,6,,,,
CN,4/3/2020,,8,,,,
CB,4/3/2020,,10,,,,
CM,4/3/2020,,13,,,,
CL,4/3/2020,,11,,,,
CT,4/3/2020,,24,,,,
CE,4/3/2020,,0,,,,
VC,4/3/2020,,19,,117,6,
EX,4/3/2020,,6,,,,
GA,4/3/2020,,1,,,,
MD,4/3/2020,,199,,,,
ML,4/3/2020,,0,,,,
MC,4/3/2020,,0,,,,
NC,4/3/2020,,3,,,,
PV,4/3/2020,,17,,,,
RI,4/3/2020,,17,,,,
AN,5/3/2020,,21,,,,
AR,5/3/2020,,1,,,,
AS,5/3/2020,,4,,4,1,0
IB,5/3/2020,,6,,,,
CN,5/3/2020,,11,,,,
CB,5/3/2020,,10,,,,
CM,5/3/2020,,15,,,,
CL,5/3/2020,,14,,,,
CT,5/3/2020,,24,,,,
CE,5/3/2020,,0,,,,
VC,5/3/2020,,30,,130,8,
EX,5/3/2020,,6,,,,
GA,5/3/2020,,3,,,,
MD,5/3/2020,,311,,,,
ML,5/3/2020,,0,,,,
MC,5/3/2020,,0,,,,
NC,5/3/2020,,3,,,,
PV,5/3/2020,,45,,,,
RI,5/3/2020,,29,,,,
AN,6/3/2020,,27,,,,
AR,6/3/2020,,5,,,,
AS,6/3/2020,,7,,4,1,0
IB,6/3/2020,,6,,,,
CN,6/3/2020,,11,,,,
CB,6/3/2020,,10,,,,
CM,6/3/2020,,15,,,,
CL,6/3/2020,,14,,,,
CT,6/3/2020,,24,,,,
CE,6/3/2020,,0,,,,
VC,6/3/2020,,30,,138,8,
EX,6/3/2020,,6,,,,
GA,6/3/2020,,3,,,,
MD,6/3/2020,,515,,,,
ML,6/3/2020,,0,,,,
MC,6/3/2020,,0,,,,
NC,6/3/2020,,3,,,,
PV,6/3/2020,,45,,,,
RI,6/3/2020,,47,,,,
AN,7/3/2020,,34,,,,
AR,7/3/2020,,5,,,,
AS,7/3/2020,,8,,4,1,0
IB,7/3/2020,,8,,,,
CN,7/3/2020,,17,,,,
CB,7/3/2020,,12,,,,
CM,7/3/2020,,15,,,,
CL,7/3/2020,,22,,,,
CT,7/3/2020,,49,,,,
CE,7/3/2020,,0,,,,
VC,7/3/2020,,37,,146,9,
EX,7/3/2020,,6,,,,
GA,7/3/2020,,5,,,,
MD,7/3/2020,,738,,,,
ML,7/3/2020,,0,,,,
MC,7/3/2020,,1,,,,
NC,7/3/2020,,3,,,,
PV,7/3/2020,,70,,,,
RI,7/3/2020,,70,,,,
AN,8/3/2020,,54,,,1,0
AR,8/3/2020,,7,,,3,3
AS,8/3/2020,,10,,7,1,0
IB,8/3/2020,,11,,,1,0
CN,8/3/2020,,22,,,0,0
CB,8/3/2020,,12,,,0,0
CM,8/3/2020,,26,,,2,0
CL,8/3/2020,,23,,,2,0
CT,8/3/2020,,59,,16,5,2
CE,8/3/2020,,0,,,0,0
VC,8/3/2020,,37,,153,9,1
EX,8/3/2020,,7,,,0,0
GA,8/3/2020,,6,,,2,0
MD,8/3/2020,,1003,,,53,16
ML,8/3/2020,,0,,,0,0
MC,8/3/2020,,4,,,0,0
NC,8/3/2020,,3,,,1,0
PV,8/3/2020,,149,,,5,6
RI,8/3/2020,,102,,,1,0
AN,9/3/2020,,71,,,1,0
AR,9/3/2020,,30,,,3,4
AS,9/3/2020,,15,,11,1,0
IB,9/3/2020,,13,,,1,0
CN,9/3/2020,,25,,,1,0
CB,9/3/2020,,12,,,0,0
CM,9/3/2020,,39,,,3,0
CL,9/3/2020,,56,,,2,0
CT,9/3/2020,,82,,31,7,2
CE,9/3/2020,,0,,,0,0
VC,9/3/2020,,50,,171,10,1
EX,9/3/2020,,8,,,0,0
GA,9/3/2020,,22,,,2,0
MD,9/3/2020,,1508,,,77,21
ML,9/3/2020,,0,,,0,0
MC,9/3/2020,,9,,,0,0
NC,9/3/2020,,12,,,2,0
PV,9/3/2020,,195,,,5,6
RI,9/3/2020,,155,,,1,1
AN,10/3/2020,,90,,32,3,0
AR,10/3/2020,,38,,22,3,4
AS,10/3/2020,,32,,13,2,0
IB,10/3/2020,,16,,8,1,0
CN,10/3/2020,,37,,10,1,0
CB,10/3/2020,,12,,0,0,0
CM,10/3/2020,,71,,0,5,0
CL,10/3/2020,,71,,24,5,0
CT,10/3/2020,,123,,50,8,3
CE,10/3/2020,,0,,0,0,0
VC,10/3/2020,,65,,200,12,1
EX,10/3/2020,,9,,2,1,1
GA,10/3/2020,,35,,7,2,0
MD,10/3/2020,,2213,,0,102,31
ML,10/3/2020,,0,,0,0,0
MC,10/3/2020,,11,,4,0,0
NC,10/3/2020,,46,,10,3,0
PV,10/3/2020,,225,,102,15,6
RI,10/3/2020,,185,,13,1,2
AN,11/3/2020,,115,,50,4,0
AR,11/3/2020,,45,,28,3,6
AS,11/3/2020,,37,,15,2,0
IB,11/3/2020,,22,,8,2,1
CN,11/3/2020,,51,,15,3,0
CB,11/3/2020,,16,,3,0,0
CM,11/3/2020,,115,,39,9,1
CL,11/3/2020,,92,,25,7,0
CT,11/3/2020,,202,,74,16,6
CE,11/3/2020,,0,,0,0,0
VC,11/3/2020,,76,,232,15,1
EX,11/3/2020,,19,,2,1,1
GA,11/3/2020,,35,,7,2,0
MD,11/3/2020,,2943,,0,135,56
ML,11/3/2020,,0,,0,0,0
MC,11/3/2020,,26,,5,1,0
NC,11/3/2020,,73,,17,3,0
PV,11/3/2020,,346,,146,18,11
RI,11/3/2020,,220,,21,1,2
AN,12/3/2020,,219,,92,8,0
AR,12/3/2020,,64,,30,3,7
AS,12/3/2020,,40,,18,2,1
IB,12/3/2020,,28,,9,2,1
CN,12/3/2020,,70,,15,3,0
CB,12/3/2020,,29,,3,0,0
CM,12/3/2020,,194,,78,10,5
CL,12/3/2020,,169,,25,8,0
CT,12/3/2020,,349,,137,22,9
CE,12/3/2020,,0,,0,0,0
VC,12/3/2020,,94,,271,22,1
EX,12/3/2020,,39,,3,1,1
GA,12/3/2020,,85,,15,6,0
MD,12/3/2020,,3732,,1304,180,81
ML,12/3/2020,,2,,3,0,0
MC,12/3/2020,,35,,8,2,0
NC,12/3/2020,,130,,28,4,0
PV,12/3/2020,,417,,179,20,14
RI,12/3/2020,,259,,27,2,3
AN,13/3/2020,,269,,92,8,2
AR,13/3/2020,,80,,42,5,7
AS,13/3/2020,,86,,24,2,2
IB,13/3/2020,,28,,9,2,1
CN,13/3/2020,,90,,15,6,1
CB,13/3/2020,,31,,3,0,0
CM,13/3/2020,,289,,78,10,6
CL,13/3/2020,,223,,25,15,1
CT,13/3/2020,,558,,200,29,13
CE,13/3/2020,,0,,0,0,0
VC,13/3/2020,,130,,307,29,4
EX,13/3/2020,,66,,3,1,2
GA,13/3/2020,,115,,32,6,0
MD,13/3/2020,,4672,,1518,180,86
ML,13/3/2020,,3,,3,0,0
MC,13/3/2020,,47,,8,2,0
NC,13/3/2020,,146,,28,4,0
PV,13/3/2020,,521,,179,22,14
RI,13/3/2020,,292,,38,2,3
AN,14/3/2020,,437,,92,8,6
AR,14/3/2020,,121,,59,5,7
AS,14/3/2020,,123,,28,3,2
IB,14/3/2020,,42,,9,2,1
CN,14/3/2020,,109,,15,6,1
CB,14/3/2020,,51,,3,0,0
CM,14/3/2020,,401,,78,10,10
CL,14/3/2020,,292,,45,22,3
CT,14/3/2020,,742,,287,40,15
CE,14/3/2020,,1,,0,0,0
VC,14/3/2020,,409,,339,37,5
EX,14/3/2020,,95,,8,1,2
GA,14/3/2020,,195,,32,6,2
MD,14/3/2020,,5576,,2337,253,213
ML,14/3/2020,,8,,4,0,0
MC,14/3/2020,,71,,13,2,0
NC,14/3/2020,,183,,34,4,0
PV,14/3/2020,,630,,262,29,23
RI,14/3/2020,,300,,58,7,3
AN,15/3/2020,,554,,197,11,7
AR,15/3/2020,,147,,64,7,11
AS,15/3/2020,,160,,39,3,2
IB,15/3/2020,,73,,21,4,1
CN,15/3/2020,,119,,40,9,1
CB,15/3/2020,,58,,18,2,0
CM,15/3/2020,,567,,207,23,17
CL,15/3/2020,,334,,95,29,6
CT,15/3/2020,,1017,,375,52,20
CE,15/3/2020,,1,,0,0,0
VC,15/3/2020,,409,,390,47,5
EX,15/3/2020,,111,,9,1,2
GA,15/3/2020,,245,,49,8,2
MD,15/3/2020,,6392,,2337,253,213
ML,15/3/2020,,8,,4,0,0
MC,15/3/2020,,77,,13,2,0
NC,15/3/2020,,274,,58,5,1
PV,15/3/2020,,630,,262,29,23
RI,15/3/2020,,312,,64,13,4
AN,16/3/2020,,683,,229,13,11
AR,16/3/2020,,207,,74,9,12
AS,16/3/2020,,224,,57,6,2
IB,16/3/2020,,92,,26,4,1
CN,16/3/2020,,148,,56,13,2
CB,16/3/2020,,58,,18,2,0
CM,16/3/2020,,567,,207,23,17
CL,16/3/2020,,431,,95,36,12
CT,16/3/2020,,1414,,525,73,23
CE,16/3/2020,,1,,0,0,0
VC,16/3/2020,,541,,456,52,13
EX,16/3/2020,,153,,18,2,3
GA,16/3/2020,,292,,49,12,3
MD,16/3/2020,,7653,,3710,340,355
ML,16/3/2020,,17,,4,0,0
MC,16/3/2020,,97,,18,3,0
NC,16/3/2020,,313,,72,10,2
PV,16/3/2020,,765,,309,33,36
RI,16/3/2020,,355,,82,13,5
AN,17/3/2020,,859,,319,21,19
AR,17/3/2020,,226,,81,9,13
AS,17/3/2020,,269,,78,9,2
IB,17/3/2020,,112,,29,4,1
CN,17/3/2020,,181,,73,17,3
CB,17/3/2020,,68,,25,3,1
CM,17/3/2020,,675,,277,29,28
CL,17/3/2020,,668,,281,50,22
CT,17/3/2020,,1866,,679,101,33
CE,17/3/2020,,1,,0,0,0
VC,17/3/2020,,726,,530,65,22
EX,17/3/2020,,194,,27,3,6
GA,17/3/2020,,341,,63,17,3
MD,17/3/2020,,9601,,3778,491,390
ML,17/3/2020,,20,,4,0,0
MC,17/3/2020,,122,,22,4,0
NC,17/3/2020,,386,,93,10,3
PV,17/3/2020,,973,,353,37,40
RI,17/3/2020,,419,,99,13,5
AN,18/3/2020,,1008,,384,25,23
AR,18/3/2020,,281,,101,14,15
AS,18/3/2020,,310,,105,11,2
IB,18/3/2020,,169,,31,7,2
CN,18/3/2020,,220,,82,23,3
CB,18/3/2020,,83,,40,4,1
CM,18/3/2020,,801,,313,37,42
CL,18/3/2020,,868,,362,63,29
CT,18/3/2020,,2702,,825,118,53
CE,18/3/2020,,1,,0,0,0
VC,18/3/2020,,921,,647,85,24
EX,18/3/2020,,241,,36,3,8
GA,18/3/2020,,453,,100,24,4
MD,18/3/2020,,11356,,5168,590,498
ML,18/3/2020,,23,,4,0,0
MC,18/3/2020,,167,,36,6,0
NC,18/3/2020,,482,,132,11,4
PV,18/3/2020,,1190,,455,44,53
RI,18/3/2020,,468,,121,15,5
AN,19/3/2020,,1287,,501,38,30
AR,19/3/2020,,360,,127,28,17
AS,19/3/2020,,429,,129,13,4
IB,19/3/2020,,203,,48,10,2
CN,19/3/2020,,287,,115,25,4
CB,19/3/2020,,144,,61,7,1
CM,19/3/2020,,1044,,313,37,42
CL,19/3/2020,,1147,,476,75,43
CT,19/3/2020,,3270,,994,175,93
CE,19/3/2020,,5,,0,0,0
VC,19/3/2020,,1105,,777,101,33
EX,19/3/2020,,297,,44,4,10
GA,19/3/2020,,578,,138,34,5
MD,19/3/2020,,13399,,6338,678,628
ML,19/3/2020,,24,,5,1,0
MC,19/3/2020,,204,,47,11,0
NC,19/3/2020,,554,,172,19,5
PV,19/3/2020,,1465,,550,53,71
RI,19/3/2020,,497,,122,15,7
AN,20/3/2020,,1515,,605,53,40
AR,20/3/2020,,424,,192,33,22
AS,20/3/2020,,524,,155,18,7
IB,20/3/2020,,246,,60,14,4
CN,20/3/2020,,348,,139,29,7
CB,20/3/2020,,215,,92,9,2
CM,20/3/2020,,1423,,635,65,84
CL,20/3/2020,,1466,,629,96,55
CT,20/3/2020,,4203,,1681,271,122
CE,20/3/2020,,5,,0,0,0
VC,20/3/2020,,1363,,947,129,50
EX,20/3/2020,,354,,65,6,12
GA,20/3/2020,,739,,168,40,9
MD,20/3/2020,,15722,,7388,767,804
ML,20/3/2020,,25,,8,1,0
MC,20/3/2020,,240,,61,14,1
NC,20/3/2020,,664,,222,25,9
PV,20/3/2020,,1725,,654,71,85
RI,20/3/2020,,564,,128,17,15
AN,21/3/2020,,1725,,724,55,47
AR,21/3/2020,,532,,241,45,24
AS,21/3/2020,,569,,180,22,12
IB,21/3/2020,,331,,79,14,4
CN,21/3/2020,,414,,150,32,9
CB,21/3/2020,,282,,116,9,5
CM,21/3/2020,,1819,,838,76,112
CL,21/3/2020,,1744,,798,111,74
CT,21/3/2020,,5046,,1917,290,143
CE,21/3/2020,,5,,0,0,0
VC,21/3/2020,,1604,,1136,152,69
EX,21/3/2020,,384,,87,8,14
GA,21/3/2020,,915,,227,50,12
MD,21/3/2020,,17397,,8441,834,1021
ML,21/3/2020,,25,,12,1,0
MC,21/3/2020,,296,,78,16,1
NC,21/3/2020,,794,,288,30,14
PV,21/3/2020,,2097,,988,81,97
RI,21/3/2020,,654,,134,17,18
AN,22/3/2020,,1961,,865,77,58
AR,22/3/2020,,638,,298,52,32
AS,22/3/2020,,621,,210,25,22
IB,22/3/2020,,400,,87,27,10
CN,22/3/2020,,481,,172,32,11
CB,22/3/2020,,347,,157,14,6
CM,22/3/2020,,2078,,1547,142,145
CL,22/3/2020,,2055,,977,130,102
CT,22/3/2020,,5747,,2158,308,199
CE,22/3/2020,,6,,0,0,0
VC,22/3/2020,,1901,,1311,181,94
EX,22/3/2020,,493,,131,13,18
GA,22/3/2020,,1208,,270,62,18
MD,22/3/2020,,18900,,9561,942,1263
ML,22/3/2020,,28,,12,1,0
MC,22/3/2020,,345,,80,23,2
NC,22/3/2020,,886,,339,40,24
PV,22/3/2020,,2421,,1252,92,120
RI,22/3/2020,,747,,166,22,22
AN,23/3/2020,,2470,,1132,102,87
AR,23/3/2020,,758,,384,66,37
AS,23/3/2020,,754,,251,29,26
IB,23/3/2020,,478,,127,35,10
CN,23/3/2020,,557,,207,36,16
CB,23/3/2020,,425,,200,16,9
CM,23/3/2020,,2465,,1826,182,216
CL,23/3/2020,,2460,,1197,151,124
CT,23/3/2020,,7864,,3209,471,293
CE,23/3/2020,,6,,0,0,0
VC,23/3/2020,,2167,,1562,222,115
EX,23/3/2020,,636,,161,20,26
GA,23/3/2020,,1415,,338,78,20
MD,23/3/2020,,21569,,10443,1050,1535
ML,23/3/2020,,28,,12,1,0
MC,23/3/2020,,385,,99,26,3
NC,23/3/2020,,1014,,405,45,31
PV,23/3/2020,,2728,,1425,106,133
RI,23/3/2020,,802,,206,24,30
AN,24/3/2020,,3008,,1433,116,113
AR,24/3/2020,,907,,459,75,40
AS,24/3/2020,,812,,281,39,29
IB,24/3/2020,,562,,164,40,13
CN,24/3/2020,,657,,235,43,21
CB,24/3/2020,,510,,241,18,14
CM,24/3/2020,,2780,,2162,210,263
CL,24/3/2020,,2940,,1457,179,165
CT,24/3/2020,,9937,,4349,713,385
CE,24/3/2020,,9,,2,1,0
VC,24/3/2020,,2616,,1842,255,143
EX,24/3/2020,,742,,209,28,39
GA,24/3/2020,,1653,,412,100,27
MD,24/3/2020,,24475,,11153,1150,1825
ML,24/3/2020,,38,,14,2,0
MC,24/3/2020,,477,,127,33,5
NC,24/3/2020,,1197,,506,51,33
PV,24/3/2020,,3271,,1577,119,155
RI,24/3/2020,,928,,254,33,37
AN,25/3/2020,,3404,,1626,134,134
AR,25/3/2020,,1116,,562,93,48
AS,25/3/2020,,891,,322,48,29
IB,25/3/2020,,660,,205,43,17
CN,25/3/2020,,784,,279,45,24
CB,25/3/2020,,671,,300,26,17
CM,25/3/2020,,3383,,2162,243,316
CL,25/3/2020,,3488,,1823,198,206
CT,25/3/2020,,11592,,5371,764,501
CE,25/3/2020,,10,,2,2,0
VC,25/3/2020,,3200,,2097,289,167
EX,25/3/2020,,969,,241,34,58
GA,25/3/2020,,1915,,503,107,32
MD,25/3/2020,,27422,,12440,1221,2090
ML,25/3/2020,,39,,16,2,1
MC,25/3/2020,,596,,172,36,8
NC,25/3/2020,,1411,,649,54,49
PV,25/3/2020,,3946,,1907,137,180
RI,25/3/2020,,995,,316,36,43
AN,26/3/2020,,3790,,1843,148,144
AR,26/3/2020,,1338,,693,114,58
AS,26/3/2020,,960,,370,56,39
IB,26/3/2020,,755,,237,46,22
CN,26/3/2020,,878,,328,61,27
CB,26/3/2020,,810,,355,29,21
CM,26/3/2020,,3934,,2707,273,367
CL,26/3/2020,,4132,,2214,215,252
CT,26/3/2020,,12940,,6714,972,685
CE,26/3/2020,,17,,2,2,0
VC,26/3/2020,,3532,,2357,325,198
EX,26/3/2020,,1231,,277,41,69
GA,26/3/2020,,2322,,557,122,43
MD,26/3/2020,,30796,,13580,1312,2412
ML,26/3/2020,,42,,18,2,1
MC,26/3/2020,,714,,209,53,15
NC,26/3/2020,,1641,,732,75,58
PV,26/3/2020,,4601,,2270,154,207
RI,26/3/2020,,1236,,388,43,55
AN,27/3/2020,,4271,,2106,172,175
AR,27/3/2020,,1592,,835,124,93
AS,27/3/2020,,1037,,427,59,44
IB,27/3/2020,,862,,283,59,26
CN,27/3/2020,,1025,,377,68,36
CB,27/3/2020,,937,,406,37,22
CM,27/3/2020,,4512,,2977,289,448
CL,27/3/2020,,4791,,2648,238,321
CT,27/3/2020,,14263,,7954,1036,827
CE,27/3/2020,,17,,2,2,1
VC,27/3/2020,,4034,,2606,348,234
EX,27/3/2020,,1394,,312,40,88
GA,27/3/2020,,2772,,906,141,47
MD,27/3/2020,,33162,,14211,1404,2757
ML,27/3/2020,,45,,22,2,1
MC,27/3/2020,,802,,231,58,17
NC,27/3/2020,,1829,,827,84,70
PV,27/3/2020,,5136,,2612,176,241
RI,27/3/2020,,1436,,458,43,65
AN,28/3/2020,,4676,,2294,201,207
AR,28/3/2020,,1858,,835,124,104
AS,28/3/2020,,1143,,452,63,47
IB,28/3/2020,,958,,345,71,29
CN,28/3/2020,,1125,,425,78,39
CB,28/3/2020,,1023,,449,40,26
CM,28/3/2020,,5246,,3018,299,539
CL,28/3/2020,,5414,,3160,261,380
CT,28/3/2020,,15025,,8447,1080,904
CE,28/3/2020,,21,,2,2,1
VC,28/3/2020,,4784,,2773,375,267
EX,28/3/2020,,1456,,313,41,100
GA,28/3/2020,,3139,,1043,159,60
MD,28/3/2020,,34189,,14454,1429,3082
ML,28/3/2020,,48,,24,2,1
MC,28/3/2020,,872,,260,58,20
NC,28/3/2020,,2011,,896,90,84
PV,28/3/2020,,5740,,3106,271,265
RI,28/3/2020,,1629,,497,43,68
AN,29/3/2020,,5398,,2671,216,236
AR,29/3/2020,,2078,,1094,156,106
AS,29/3/2020,,1206,,491,67,59
