CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
IB,29/3/2020,,1000,,353,80,37
CN,29/3/2020,,1204,,444,84,40
CB,29/3/2020,,1100,,481,46,27
CM,29/3/2020,,5858,,3134,302,622
CL,29/3/2020,,5801,,3411,272,442
CT,29/3/2020,,16104,,9126,1150,983
CE,29/3/2020,,25,,2,2,1
VC,29/3/2020,,5110,,2914,393,310
EX,29/3/2020,,1560,,353,43,106
GA,29/3/2020,,3723,,1147,176,66
MD,29/3/2020,,35061,,14917,1460,3392
ML,29/3/2020,,51,,27,3,1
MC,29/3/2020,,939,,265,58,25
NC,29/3/2020,,2146,,955,96,102
PV,29/3/2020,,6057,,3427,293,297
RI,29/3/2020,,1733,,517,43,71
AN,30/3/2020,,5809,,2867,235,248
AR,30/3/2020,,2272,,1176,165,138
AS,30/3/2020,,1295,,529,71,66
IB,30/3/2020,,1069,,399,85,42
CN,30/3/2020,,1262,,483,94,55
CB,30/3/2020,,1171,,522,50,37
CM,30/3/2020,,6424,,3225,344,708
CL,30/3/2020,,6211,,3629,294,516
CT,30/3/2020,,18520,,9925,1218,1216
CE,30/3/2020,,34,,3,3,1
VC,30/3/2020,,5508,,3111,416,339
EX,30/3/2020,,1628,,371,51,133
GA,30/3/2020,,4039,,1250,189,84
MD,30/3/2020,,37607,,15140,1514,3603
ML,30/3/2020,,54,,27,3,1
MC,30/3/2020,,974,,283,59,34
NC,30/3/2020,,2305,,1035,99,113
PV,30/3/2020,,6320,,3594,307,325
RI,30/3/2020,,1810,,575,51,85
AN,31/3/2020,,6379,,3147,260,308
AR,31/3/2020,,2491,,1234,168,169
AS,31/3/2020,,1367,,554,79,75
IB,31/3/2020,,1131,,467,94,46
CN,31/3/2020,,1380,,532,110,62
CB,31/3/2020,,1213,,543,54,54
CM,31/3/2020,,7047,,3230,353,774
CL,31/3/2020,,6847,,3951,318,585
CT,31/3/2020,,19991,,11446,1345,1458
CE,31/3/2020,,51,,6,3,1
VC,31/3/2020,,5922,,3253,434,395
EX,31/3/2020,,1679,,372,58,152
GA,31/3/2020,,4432,,1338,203,103
MD,31/3/2020,,39409,,15227,1514,3865
ML,31/3/2020,,62,,32,3,1
MC,31/3/2020,,1041,,304,59,37
NC,31/3/2020,,2497,,1120,104,130
PV,31/3/2020,,6838,,3806,324,369
RI,31/3/2020,,1960,,619,54,90
AN,1/4/2020,,6957,,3444,280,343
AR,1/4/2020,,2700,,1320,178,200
AS,1/4/2020,,1435,,602,84,76
IB,1/4/2020,,1204,,516,104,58
CN,1/4/2020,,1444,,566,113,68
CB,1/4/2020,,1268,,567,57,60
CM,1/4/2020,,7682,,3230,355,854
CL,1/4/2020,,7355,,4207,332,641
CT,1/4/2020,,21804,,12398,1415,1629
CE,1/4/2020,,55,,7,3,1
VC,1/4/2020,,6308,,3389,449,443
EX,1/4/2020,,1837,,412,62,181
GA,1/4/2020,,4842,,1447,212,120
MD,1/4/2020,,41199,,15227,1528,4175
ML,1/4/2020,,62,,32,3,1
MC,1/4/2020,,1084,,389,68,42
NC,1/4/2020,,2682,,1181,108,141
PV,1/4/2020,,7317,,4087,344,412
RI,1/4/2020,,2083,,660,57,101
AN,2/4/2020,,7353,,3673,338,376
AR,2/4/2020,,2889,,1431,180,224
AS,2/4/2020,,1504,,634,88,80
IB,2/4/2020,,1257,,586,111,69
CN,2/4/2020,,1490,,605,120,73
CB,2/4/2020,,1321,,592,59,64
CM,2/4/2020,,8523,,3168,355,916
CL,2/4/2020,,7875,,4472,342,723
CT,2/4/2020,,23460,,13101,1482,1784
CE,2/4/2020,,62,,8,3,1
VC,2/4/2020,,6624,,3492,460,511
EX,2/4/2020,,1893,,415,64,200
GA,2/4/2020,,5219,,1630,219,138
MD,2/4/2020,,43038,,15050,1506,4483
ML,2/4/2020,,70,,34,3,2
MC,2/4/2020,,1145,,405,72,46
NC,2/4/2020,,2836,,1284,119,151
PV,2/4/2020,,7827,,4283,363,444
RI,2/4/2020,,2224,,738,64,109
AN,3/4/2020,,7847,,3896,364,426
AR,3/4/2020,,3078,,1505,190,251
AS,3/4/2020,,1573,12,657,91,83
IB,3/4/2020,,1271,,633,113,71
CN,3/4/2020,,1564,,632,128,78
CB,3/4/2020,,1384,,619,60,68
CM,3/4/2020,,9324,,3133,360,989
CL,3/4/2020,,8332,,4685,351,786
CT,3/4/2020,,24734,,14251,1569,1928
CE,3/4/2020,,73,,8,4,1
VC,3/4/2020,,6901,,3560,470,571
EX,3/4/2020,,1979,,453,64,208
GA,3/4/2020,,5625,,1767,229,159
MD,3/4/2020,,44779,,14741,1498,4723
ML,3/4/2020,,79,,37,3,2
MC,3/4/2020,,1188,,434,79,51
NC,3/4/2020,,2972,,1341,120,171
PV,3/4/2020,,8187,,4522,377,477
RI,3/4/2020,,2405,,805,64,128
AN,4/4/2020,,8279,,4107,474,470
AR,4/4/2020,,3232,,1588,233,270
AS,4/4/2020,,1627,13,674,93,87
IB,4/4/2020,,1293,,663,119,75
CN,4/4/2020,,1622,,644,129,80
CB,4/4/2020,,1441,,639,62,68
CM,4/4/2020,,10031,,2950,357,1055
CL,4/4/2020,,8749,,4905,361,847
CT,4/4/2020,,26032,,14798,1653,2053
CE,4/4/2020,,83,,9,4,2
VC,4/4/2020,,7184,,3620,478,613
EX,4/4/2020,,2047,,417,66,218
GA,4/4/2020,,5944,,1831,237,174
MD,4/4/2020,,45671,,14551,1499,4941
ML,4/4/2020,,83,,38,3,2
MC,4/4/2020,,1235,,447,80,59
NC,4/4/2020,,3073,,1399,123,178
PV,4/4/2020,,8628,,4666,404,515
RI,4/4/2020,,2592,,855,66,134
AN,5/4/2020,,8559,,4227,489,491
AR,5/4/2020,,3347,,1637,237,284
AS,5/4/2020,,1681,14,695,94,93
IB,5/4/2020,,1320,,682,120,81
CN,5/4/2020,,1649,,651,133,85
CB,5/4/2020,,1483,,658,65,77
CM,5/4/2020,,10602,,2901,354,1132
CL,5/4/2020,,9116,,5041,368,919
CT,5/4/2020,,26824,,15258,1685,2167
CE,5/4/2020,,83,,9,4,3
VC,5/4/2020,,7334,,3668,487,637
EX,5/4/2020,,2068,,453,66,228
GA,5/4/2020,,6151,,1916,245,190
MD,5/4/2020,,46197,,14501,1510,5136
ML,5/4/2020,,86,,38,3,2
MC,5/4/2020,,1259,,468,81,68
NC,5/4/2020,,3231,,1432,124,187
PV,5/4/2020,,8810,,4794,410,548
RI,5/4/2020,,2719,,888,66,141
AN,6/4/2020,,8743,,4335,499,528
AR,6/4/2020,,3449,,1663,247,312
AS,6/4/2020,,1702,16,727,96,101
IB,6/4/2020,,1369,,704,123,84
CN,6/4/2020,,1725,,689,137,89
CB,6/4/2020,,1501,,677,66,85
CM,6/4/2020,,11077,,2908,360,1177
CL,6/4/2020,,9581,,5180,375,982
CT,6/4/2020,,28323,,15643,1740,2329
CE,6/4/2020,,83,,9,4,4
VC,6/4/2020,,7443,,3698,492,672
EX,6/4/2020,,2116,,686,70,258
GA,6/4/2020,,6331,,1968,253,204
MD,6/4/2020,,47763,,13950,1494,5371
ML,6/4/2020,,92,,40,3,2
MC,6/4/2020,,1259,4,500,84,78
NC,6/4/2020,,3355,,1488,124,202
PV,6/4/2020,,8974,47,4856,417,586
RI,6/4/2020,,2846,,918,66,160
AN,7/4/2020,,8973,,4463,520,605
AR,7/4/2020,,3549,,1716,255,349
AS,7/4/2020,,1729,22,747,97,107
IB,7/4/2020,,1412,,730,128,89
CN,7/4/2020,,1762,,703,138,91
CB,7/4/2020,,1572,,700,69,92
CM,7/4/2020,,11788,,2731,354,1255
CL,7/4/2020,,10058,,5322,386,1028
CT,7/4/2020,,29647,,16235,1829,2462
CE,7/4/2020,,84,,9,4,4
VC,7/4/2020,,7655,,3713,496,724
EX,7/4/2020,,2184,,898,98,271
GA,7/4/2020,,6538,,2014,256,213
MD,7/4/2020,,49160,,13289,1450,5586
ML,7/4/2020,,93,,40,3,2
MC,7/4/2020,,1297,8,515,86,85
NC,7/4/2020,,3467,,1526,124,206
PV,7/4/2020,,9392,60,4982,430,635
RI,7/4/2020,,2951,,955,68,177
AN,8/4/2020,,9234,,4599,538,652
AR,8/4/2020,,3685,,1765,261,385
AS,8/4/2020,,1774,57,775,100,113
IB,8/4/2020,,1448,,750,131,89
CN,8/4/2020,,1834,,730,140,92
CB,8/4/2020,,1619,,720,71,98
CM,8/4/2020,,12489,,2575,342,1322
CL,8/4/2020,,10518,,5523,399,1082
CT,8/4/2020,,31043,,16970,1946,2667
CE,8/4/2020,,84,,9,4,4
VC,8/4/2020,,7964,,3815,541,767
EX,8/4/2020,,2273,,958,99,283
GA,8/4/2020,,6758,,2094,260,231
MD,8/4/2020,,50580,,12853,1433,5800
ML,8/4/2020,,93,,40,3,2
MC,8/4/2020,,1322,18,533,87,88
NC,8/4/2020,,3575,,1526,124,214
PV,8/4/2020,,9740,66,5130,433,689
RI,8/4/2020,,3026,,997,69,182
AN,9/4/2020,,9482,,4715,582,691
AR,9/4/2020,,3831,,1822,263,409
AS,9/4/2020,,1822,67,797,100,129
IB,9/4/2020,,1488,,776,135,97
CN,9/4/2020,,1858,,738,141,94
CB,9/4/2020,,1659,,747,73,102
CM,9/4/2020,,13063,,2359,329,1431
CL,9/4/2020,,11102,,5674,407,1129
CT,9/4/2020,,31824,,17780,1966,2787
CE,9/4/2020,,91,,9,4,4
VC,9/4/2020,,8331,,3987,561,796
EX,9/4/2020,,2332,,1003,101,288
GA,9/4/2020,,6946,,2165,263,243
MD,9/4/2020,,51535,,12432,1399,5972
ML,9/4/2020,,95,,41,3,2
MC,9/4/2020,,1338,29,533,88,90
NC,9/4/2020,,3748,,1620,124,218
PV,9/4/2020,,9992,111,5290,442,729
RI,9/4/2020,,3076,,1047,71,196
AN,10/4/2020,,9682,,4808,602,737
AR,10/4/2020,,3969,29,1860,266,425
AS,10/4/2020,,1865,78,831,101,134
IB,10/4/2020,,1507,,777,136,102
CN,10/4/2020,,1887,,745,144,95
CB,10/4/2020,,1719,,773,75,107
CM,10/4/2020,,13456,,2198,316,1483
CL,10/4/2020,,11543,,5817,414,1180
CT,10/4/2020,,32984,,18194,1989,2877
CE,10/4/2020,,93,,9,4,4
VC,10/4/2020,,8578,,4132,565,818
EX,10/4/2020,,2486,,1052,104,303
GA,10/4/2020,,7176,,2215,264,261
MD,10/4/2020,,52400,,11894,1376,6084
ML,10/4/2020,,98,,43,3,2
MC,10/4/2020,,1371,33,533,88,94
NC,10/4/2020,,3817,,1641,124,227
PV,10/4/2020,,10313,202,5402,453,765
RI,10/4/2020,,3223,273,1082,73,207
AN,11/4/2020,,9976,,4950,619,799
AR,11/4/2020,,4070,55,1901,272,450
AS,11/4/2020,,1949,81,863,102,150
IB,11/4/2020,,1534,,804,141,112
CN,11/4/2020,,1918,,758,144,95
CB,11/4/2020,,1752,,805,75,110
CM,11/4/2020,,13698,,6838,316,1543
CL,11/4/2020,,12118,,5957,418,1221
CT,11/4/2020,,34027,,18772,2018,2975
CE,11/4/2020,,93,,9,4,4
VC,11/4/2020,,8841,,4149,567,838
EX,11/4/2020,,2580,,1074,106,312
GA,11/4/2020,,7336,,2306,267,274
MD,11/4/2020,,52944,,11424,1332,6278
ML,11/4/2020,,98,,43,3,2
MC,11/4/2020,,1380,56,537,91,97
NC,11/4/2020,,3969,,1663,124,232
PV,11/4/2020,,10514,258,5547,459,804
RI,11/4/2020,,3279,317,1122,73,219
AN,12/4/2020,,10062,,4993,621,815
AR,12/4/2020,,4187,61,1938,274,464
AS,12/4/2020,,2001,83,884,105,157
IB,12/4/2020,,1550,,810,142,117
CN,12/4/2020,,1944,,763,145,96
CB,12/4/2020,,1777,,827,75,117
CM,12/4/2020,,14054,,7782,475,1626
CL,12/4/2020,,12628,,6077,423,1263
CT,12/4/2020,,34726,,18963,2084,3105
CE,12/4/2020,,95,,9,4,4
VC,12/4/2020,,9060,,4269,576,876
EX,12/4/2020,,2658,,1096,107,321
GA,12/4/2020,,7494,,2344,275,284
MD,12/4/2020,,53285,,11233,1327,6423
ML,12/4/2020,,101,,43,3,2
MC,12/4/2020,,1387,65,543,94,101
NC,12/4/2020,,4092,,1693,124,239
PV,12/4/2020,,10674,344,5622,464,831
RI,12/4/2020,,3358,317,1141,73,223
AN,13/4/2020,,10169,114,5054,631,836
AR,13/4/2020,,4245,87,1966,280,492
AS,13/4/2020,,2030,89,902,109,165
IB,13/4/2020,,1571,,825,144,118
CN,13/4/2020,,1958,,771,147,102
CB,13/4/2020,,1796,,853,76,120
CM,13/4/2020,,14329,,7830,486,1714
CL,13/4/2020,,13180,,6175,432,1299
CT,13/4/2020,,35197,,19224,2102,3201
CE,13/4/2020,,96,,9,4,4
VC,13/4/2020,,9213,,4397,581,907
EX,13/4/2020,,2684,,1114,107,334
GA,13/4/2020,,7597,,2403,280,290
MD,13/4/2020,,54287,,10753,1299,6568
ML,13/4/2020,,101,,43,3,2
MC,13/4/2020,,1393,86,566,96,106
NC,13/4/2020,,4150,,1705,124,249
PV,13/4/2020,,10845,381,5679,470,859
RI,13/4/2020,,3420,329,1152,74,234
AN,14/4/2020,,10392,169,5147,665,865
AR,14/4/2020,,4338,112,2006,282,514
AS,14/4/2020,,2089,105,914,111,172
IB,14/4/2020,,1605,,856,148,125
CN,14/4/2020,,1975,,781,152,104
CB,14/4/2020,,1823,,873,76,132
CM,14/4/2020,,14680,,7896,495,1755
CL,14/4/2020,,13697,,6306,440,1337
CT,14/4/2020,,36505,,20264,2189,3453
CE,14/4/2020,,98,,9,4,4
VC,14/4/2020,,9424,,4465,588,945
EX,14/4/2020,,2762,,1155,107,342
GA,14/4/2020,,7708,,2471,282,299
MD,14/4/2020,,55398,,10116,1244,6724
ML,14/4/2020,,102,,43,3,2
MC,14/4/2020,,1400,128,574,97,109
NC,14/4/2020,,4246,,1731,124,252
PV,14/4/2020,,11014,461,5750,471,902
RI,14/4/2020,,3457,374,1182,75,246
AN,15/4/2020,,10557,216,5226,671,912
AR,15/4/2020,,4411,155,2108,291,543
AS,15/4/2020,,2110,137,927,112,176
IB,15/4/2020,,1636,,871,151,131
CN,15/4/2020,,1988,0,802,156,107
CB,15/4/2020,,1845,,890,77,137
CM,15/4/2020,,15151,,7987,503,1796
CL,15/4/2020,,14380,,6449,445,1372
CT,15/4/2020,,37354,,20553,2252,3618
CE,15/4/2020,,98,2,9,4,4
VC,15/4/2020,,9615,,4524,625,972
EX,15/4/2020,,2581,300,1186,107,359
GA,15/4/2020,,7873,,2494,282,310
MD,15/4/2020,,56304,,9653,1206,6877
ML,15/4/2020,,103,0,43,3,2
MC,15/4/2020,,1416,174,575,97,111
NC,15/4/2020,,4348,,1752,124,261
PV,15/4/2020,,11203,587,5863,478,956
RI,15/4/2020,,3539,377,1207,75,257
AN,16/4/2020,,10635,383,5298,675,940
AR,16/4/2020,,4489,175,2151,240,562
AS,16/4/2020,,2163,156,966,113,186
IB,16/4/2020,,1667,,904,151,134
CN,16/4/2020,,2009,0,811,159,111
CB,16/4/2020,,1884,,903,78,144
CM,16/4/2020,,15997,,8018,511,1852
CL,16/4/2020,,14903,,6518,449,1401
CT,16/4/2020,,38316,,21242,2305,3752
CE,16/4/2020,,98,3,9,4,4
VC,16/4/2020,,9486,297,4605,632,999
EX,16/4/2020,,2656,363,1212,107,372
GA,16/4/2020,,8013,,2535,290,320
MD,16/4/2020,,57157,,9141,1154,7007
ML,16/4/2020,,104,,44,3,2
MC,16/4/2020,,1424,202,585,99,112
NC,16/4/2020,,4433,,1781,124,338
PV,16/4/2020,,11403,686,5939,484,992
RI,16/4/2020,,3547,551,1226,76,262
AN,17/4/2020,,10734,434,5341,677,967
AR,17/4/2020,,4551,210,2180,243,601
AS,17/4/2020,,2186,180,980,113,190
IB,17/4/2020,,1723,24,936,156,148
CN,17/4/2020,,2035,0,822,160,115
CB,17/4/2020,,1990,,911,78,149
CM,17/4/2020,,16349,,8093,514,1913
CL,17/4/2020,,15293,,6831,495,1429
CT,17/4/2020,,39943,152,22013,2349,3879
CE,17/4/2020,,100,11,9,4,4
VC,17/4/2020,,9584,533,4708,636,1042
EX,17/4/2020,,2663,468,1240,107,380
GA,17/4/2020,,8084,,2554,291,334
MD,17/4/2020,,57978,0,8597,1094,7132
ML,17/4/2020,,104,0,44,3,2
MC,17/4/2020,,1430,217,611,102,115
NC,17/4/2020,,4349,230,1829,127,354
PV,17/4/2020,,11553,802,6030,490,1020
RI,17/4/2020,,3583,667,1249,78,272
AN,18/4/2020,,10898,491,5424,687,993
AR,18/4/2020,,4608,223,2216,246,619
AS,18/4/2020,,2203,188,988,114,197
IB,18/4/2020,,1739,33,954,159,155
CN,18/4/2020,,2047,0,825,162,119
CB,18/4/2020,,1949,101,924,78,153
CM,18/4/2020,,14588,2037,8137,518,1963
CL,18/4/2020,,14644,977,6981,498,1458
CT,18/4/2020,,40448,152,22235,2395,3933
CE,18/4/2020,,100,12,9,4,4
VC,18/4/2020,,9657,593,4781,643,1065
EX,18/4/2020,,2673,519,1278,107,384
GA,18/4/2020,,8185,,2590,294,346
MD,18/4/2020,,58466,2475,8291,1123,7239
ML,18/4/2020,,104,3,44,3,2
MC,18/4/2020,,1438,215,612,102,116
NC,18/4/2020,,4413,243,1843,127,369
PV,18/4/2020,,11731,838,6086,499,1062
RI,18/4/2020,,3636,694,1268,79,277
AN,19/4/2020,,10991,527,5473,690,1013
AR,19/4/2020,,4654,232,2244,248,637
AS,19/4/2020,,2213,194,993,115,199
IB,19/4/2020,,1748,39,962,160,157
CN,19/4/2020,,2067,0,826,163,119
CB,19/4/2020,,1973,110,934,78,158
CM,19/4/2020,,14725,2071,8173,531,2021
CL,19/4/2020,,14781,1076,7080,501,1493
CT,19/4/2020,,41676,1027,22375,2409,4009
CE,19/4/2020,,100,14,9,4,4
VC,19/4/2020,,9708,631,4827,646,1079
EX,19/4/2020,,2692,551,1306,107,389
GA,19/4/2020,,8299,,2609,296,352
MD,19/4/2020,,58673,2663,8191,1111,7351
ML,19/4/2020,,104,5,44,3,2
MC,19/4/2020,,1440,219,612,103,117
NC,19/4/2020,,4449,286,1856,128,385
PV,19/4/2020,,11789,839,6109,501,1081
RI,19/4/2020,,3664,707,1282,79,285
AN,20/4/2020,,11095,553,5509,692,1017
AR,20/4/2020,,4684,254,2271,250,643
AS,20/4/2020,,2220,229,999,116,203
IB,20/4/2020,,1766,41,985,160,161
CN,20/4/2020,,2085,0,837,164,120
CB,20/4/2020,,1998,110,948,78,165
CM,20/4/2020,,14936,2109,8199,534,2075
CL,20/4/2020,,14951,1308,7174,503,1521
CT,20/4/2020,,43112,1027,22796,2437,4152
CE,20/4/2020,,100,14,9,4,4
VC,20/4/2020,,9750,649,4866,648,1089
EX,20/4/2020,,2692,551,1327,107,397
GA,20/4/2020,,8468,,2652,296,360
MD,20/4/2020,,59300,2672,7930,1076,7460
ML,20/4/2020,,105,5,44,3,2
MC,20/4/2020,,1445,251,614,104,120
NC,20/4/2020,,4475,356,1877,128,397
PV,20/4/2020,,11843,967,6141,507,1103
RI,20/4/2020,,3684,799,1297,81,294
AN,21/4/2020,,11225,654,5565,696,1050
AR,21/4/2020,,4761,293,2304,252,656
AS,21/4/2020,,2230,277,1007,116,211
IB,21/4/2020,,1786,48,1004,165,164
CN,21/4/2020,,2094,0,841,164,121
CB,21/4/2020,,2012,148,956,78,167
CM,21/4/2020,,15053,2268,8243,537,2140
CL,21/4/2020,,15141,1698,7264,505,1554
CT,21/4/2020,,43802,1027,23295,2460,4247
CE,21/4/2020,,100,24,9,4,4
VC,21/4/2020,,9825,746,4896,649,1106
EX,21/4/2020,,2692,551,1349,107,404
GA,21/4/2020,,8634,,2674,297,368
MD,21/4/2020,,59950,2954,7464,1024,7577
ML,21/4/2020,,105,6,44,3,2
MC,21/4/2020,,1455,262,622,104,123
NC,21/4/2020,,4531,427,1894,128,401
PV,21/4/2020,,11974,1070,6201,513,1124
RI,21/4/2020,,3704,882,1318,81,298
AN,22/4/2020,,11358,837,5616,702,1079
AR,22/4/2020,,4833,404,2340,253,681
AS,22/4/2020,,2241,318,1009,116,222
IB,22/4/2020,,1805,54,1021,165,168
CN,22/4/2020,,2113,0,855,169,121
CB,22/4/2020,,2023,183,965,78,173
CM,22/4/2020,,15128,2429,8304,546,2188
CL,22/4/2020,,15510,1892,7397,508,1582
CT,22/4/2020,,44892,1027,23647,2478,4343
CE,22/4/2020,,100,24,9,4,4
VC,22/4/2020,,9869,866,4917,650,1124
EX,22/4/2020,,2715,651,1375,107,407
GA,22/4/2020,,8805,,2694,298,375
MD,22/4/2020,,60657,3393,7077,981,7684
ML,22/4/2020,,106,7,44,3,2
MC,22/4/2020,,1460,261,624,104,124
NC,22/4/2020,,4577,486,1907,129,409
PV,22/4/2020,,12094,1342,6260,516,1167
RI,22/4/2020,,3741,986,1331,82,303
AN,23/4/2020,,11486,963,5675,714,1107
AR,23/4/2020,,4867,428,2359,254,695
AS,23/4/2020,,2245,354,1012,117,228
IB,23/4/2020,,1819,57,1039,165,172
CN,23/4/2020,,2140,0,868,169,128
CB,23/4/2020,,2055,218,978,78,178
CM,23/4/2020,,15365,2688,8342,553,2255
CL,23/4/2020,,15692,2084,7506,510,1612
CT,23/4/2020,,45544,1027,24130,2569,4393
CE,23/4/2020,,100,25,10,4,4
VC,23/4/2020,,9939,967,4945,651,1147
EX,23/4/2020,,2718,685,1413,107,411
GA,23/4/2020,,8932,,2707,301,382
MD,23/4/2020,,61099,3535,6601,949,7765
ML,23/4/2020,,107,9,44,3,2
MC,23/4/2020,,1468,273,625,105,125
NC,23/4/2020,,4581,599,1915,129,417
PV,23/4/2020,,12204,1576,6315,518,1193
RI,23/4/2020,,3790,1075,1344,82,307
AN,24/4/2020,,11645,1129,5715,717,1131
AR,24/4/2020,,4922,460,2372,255,709
AS,24/4/2020,,2249,393,1020,117,235
IB,24/4/2020,,1845,60,1057,165,174
CN,24/4/2020,,2155,0,878,171,130
CB,24/4/2020,,2071,244,982,78,182
CM,24/4/2020,,15509,3016,8385,559,2292
CL,24/4/2020,,15990,2269,7555,511,1639
CT,24/4/2020,,46261,1027,24420,2576,4498
CE,24/4/2020,,100,25,10,4,4
VC,24/4/2020,,10066,1057,4978,653,1172
EX,24/4/2020,,2718,740,1447,107,416
GA,24/4/2020,,9116,,2717,302,388
MD,24/4/2020,,61619,3691,6183,892,7848
ML,24/4/2020,,108,10,44,3,2
MC,24/4/2020,,1468,288,625,105,126
NC,24/4/2020,,4627,647,1937,129,429
PV,24/4/2020,,12366,1766,6375,525,1212
RI,24/4/2020,,3821,1125,1360,83,311
AN,25/4/2020,,11712,1260,5747,716,1145
AR,25/4/2020,,4955,501,2395,257,712
AS,25/4/2020,,2261,441,1022,117,243
IB,25/4/2020,,1852,63,1061,165,175
CN,25/4/2020,,2167,0,880,171,131
CB,25/4/2020,,2083,247,991,78,183
CM,25/4/2020,,15609,3386,8417,565,2330
CL,25/4/2020,,16222,2462,7653,515,1666
CT,25/4/2020,,46811,1027,25665,2583,4566
CE,25/4/2020,,100,31,10,4,4
VC,25/4/2020,,10160,1212,5013,654,1186
EX,25/4/2020,,2736,729,1480,107,422
GA,25/4/2020,,9176,,2724,303,394
MD,25/4/2020,,61855,3691,5892,873,7922
ML,25/4/2020,,110,11,44,3,2
MC,25/4/2020,,1474,297,627,106,127
NC,25/4/2020,,4712,740,1942,129,431
PV,25/4/2020,,12455,1860,6426,533,1230
RI,25/4/2020,,3861,1137,1380,84,315
AN,26/4/2020,,11787,1321,5767,720,1157
AR,26/4/2020,,4985,519,2403,257,726
AS,26/4/2020,,2263,472,1028,117,248
IB,26/4/2020,,1857,63,1061,165,179
CN,26/4/2020,,2178,0,881,171,131
CB,26/4/2020,,2104,246,995,78,186
CM,26/4/2020,,15664,3622,8444,579,2365
CL,26/4/2020,,16404,2624,7703,518,1690
CT,26/4/2020,,47755,1027,25799,2724,4699
CE,26/4/2020,,100,31,10,4,4
VC,26/4/2020,,10180,1232,5032,656,1189
